Species,% CO10,LMA_g/m2,CWA_g/m2,Cell contents per area_g/m2,Cell wall fraction,Dry matter content,Thickness_mm,Density_g/cm3,Force to punch_kN/m,Work to shear_J/m,Specific force to punch_Mn/m2,Specific work to shear_J/m2,site
Castanospermum australe,1.08,45.7,25.3,20.3,0.55,0.37,0.16,0.28,0.69,0.09,4.27,0.56,shade_5-8%_canopy_openness
Sarcopteryx stipata,1.12,76.3,40,36.3,0.52,0.46,0.18,0.42,0.95,0.16,5.3,0.91,shade_5-8%_canopy_openness
Anthocarapa nitidula,1.31,75.1,36.9,38.2,0.49,0.36,0.27,0.28,1.01,0.1,3.74,0.35,shade_5-8%_canopy_openness
Cryptocarya glaucescens,1.84,88.4,51.2,37.2,0.58,0.47,0.21,0.43,0.91,0.16,4.43,0.79,shade_5-8%_canopy_openness
Dysoxylum fraserianum,1.87,56.9,19.7,37.2,0.35,0.34,0.22,0.26,0.55,0.06,2.5,0.28,shade_5-8%_canopy_openness
Guioa semiglauca,2.33,81.7,35.6,46.1,0.44,0.42,0.21,0.39,0.71,0.13,3.39,0.6,shade_5-8%_canopy_openness
Diploglottis australis,2.53,73,42.9,30.1,0.59,0.43,0.2,0.37,0.61,0.11,3.13,0.56,shade_5-8%_canopy_openness
Flindersia schottiana,3.2,65.7,16.6,49.1,0.25,0.38,0.21,0.32,0.64,0.07,3.13,0.34,shade_5-8%_canopy_openness
Pentaceras australis,3.43,67.5,16.9,50.6,0.25,0.34,0.22,0.31,0.74,0.08,3.42,0.38,shade_5-8%_canopy_openness
Melicope micrococca,4.58,37.3,11.4,25.9,0.31,0.23,0.2,0.19,0.48,0.07,2.43,0.36,shade_5-8%_canopy_openness
Macaranga tanarius,4.67,33.6,8.9,24.7,0.26,0.32,0.14,0.25,0.38,0.06,2.78,0.47,shade_5-8%_canopy_openness
Polyscias elegans,4.86,56.9,13.1,43.8,0.23,0.34,0.21,0.28,0.43,0.05,2.11,0.26,shade_5-8%_canopy_openness
Duboisea myoporoides,6.17,33.4,9.2,24.2,0.28,0.17,0.27,0.13,0.38,0.06,1.44,0.23,shade_5-8%_canopy_openness
Castanospermum australe,1.08,74.6,39.4,35.1,0.53,0.42,0.23,0.32,0.84,0.15,3.66,0.64,sun_15-24%_canopy_openness
Sarcopteryx stipata,1.12,100.5,47.6,52.9,0.47,0.5,0.2,0.51,0.94,0.17,4.75,0.87,sun_15-24%_canopy_openness
Anthocarapa nitidula,1.31,116.3,54.3,62.2,0.47,0.37,0.33,0.35,1.16,0.12,3.54,0.35,sun_15-24%_canopy_openness
Cryptocarya glaucescens,1.84,102.5,54.4,48.1,0.53,0.5,0.24,0.43,0.98,0.22,4.14,0.92,sun_15-24%_canopy_openness
Dysoxylum fraserianum,1.87,89.3,29.9,59.4,0.33,0.37,0.29,0.31,0.7,0.09,2.4,0.32,sun_15-24%_canopy_openness
Guioa semiglauca,2.33,117,49.4,67.6,0.42,0.48,0.25,0.46,0.67,0.14,2.64,0.56,sun_15-24%_canopy_openness
Diploglottis australis,2.53,111.2,63.6,47.7,0.57,0.5,0.23,0.49,0.65,0.12,2.84,0.53,sun_15-24%_canopy_openness
Flindersia schottiana,3.2,80.9,18.9,62,0.23,0.41,0.22,0.36,0.65,0.09,2.9,0.41,sun_15-24%_canopy_openness
Pentaceras australis,3.43,78.9,15.9,63,0.2,0.36,0.24,0.34,0.76,0.08,3.22,0.35,sun_15-24%_canopy_openness
Melicope micrococca,4.58,53.9,14.5,39.4,0.27,0.31,0.28,0.19,0.55,0.09,2,0.33,sun_15-24%_canopy_openness
Macaranga tanarius,4.67,61.5,12.1,49.4,0.2,0.35,0.19,0.32,0.41,0.1,2.18,0.52,sun_15-24%_canopy_openness
Polyscias elegans,4.86,71.6,13.7,57.9,0.19,0.38,0.24,0.3,0.42,0.05,1.74,0.2,sun_15-24%_canopy_openness
Duboisea myoporoides,6.17,47.5,11.6,35.9,0.24,0.22,0.32,0.15,0.43,0.07,1.34,0.23,sun_15-24%_canopy_openness
