Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),Seed mass (mg),SLA_duplicate,seed_mass_duplicate,SLA (mg/mm2)_filtered,Seed mass (mg)_filtered
Acacia mearnsii,90,86,NA,13.35,NA,NA,NA,13.35
Acacia melanoxylon,90,86,5.06,12.76,specific_leaf_area,seed_mass,NA,NA
Acacia paradoxa,90,86,NA,14.1,NA,seed_mass,NA,NA
Acacia pycnantha,90,86,4.263,17.79,NA,NA,4.263,17.79
Acaena echinata,90,86,NA,9.68,NA,seed_mass,NA,NA
Acaena novae-zelandiae,90,86,11.87,0.06,specific_leaf_area,seed_mass,NA,NA
Acaena ovina,90,86,17.87,0.03,specific_leaf_area,seed_mass,NA,NA
Arthropodium fimbriatum,90,86,NA,1.02,NA,NA,NA,1.02
Arthropodium minus,90,86,NA,1.571,NA,NA,NA,1.571
Arthropodium strictum,90,86,25.42,2.2,specific_leaf_area,seed_mass,NA,NA
Austrodanthonia caespitosa,90,86,19.3,0.9,specific_leaf_area,seed_mass,NA,NA
Austrodanthonia pilosa,90,86,NA,0.64,NA,NA,NA,0.64
Austrodanthonia racemosa,90,86,NA,0.636,NA,NA,NA,0.636
Austrostipa curticoma,90,86,NA,4.6,NA,NA,NA,4.6
Bossiaea prostrata,90,86,NA,2.94,NA,NA,NA,2.94
Bothriochloa macra,90,86,NA,1.07,NA,seed_mass,NA,NA
Botrychium australe,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Brachyscome basaltica,90,86,NA,0.25,NA,NA,NA,0.25
Brunonia australis,90,86,31.18,0.74,specific_leaf_area,seed_mass,NA,NA
Bulbine bulbosa,90,86,9.77,1.61,specific_leaf_area,seed_mass,NA,NA
Burchardia umbellata,90,86,12.55,0.88,specific_leaf_area,seed_mass (Ooi),NA,0.88
Caesia calliantha,90,86,NA,3.59,NA,seed_mass,NA,NA
Callitris glaucophylla,90,86,4.24,NA,NA,NA,4.24,NA
Calocephalus citreus,90,86,NA,0.2,NA,NA,NA,0.2
Calocephalus lacteus,90,86,12.24,0.9625,NA,NA,12.24,0.9625
Calotis anthemoides,90,86,NA,1.06,NA,NA,NA,1.06
Carex breviculmis,90,86,NA,0.642,NA,NA,NA,0.642
Carex inversa,90,86,20.69,1.33,specific_leaf_area,seed_mass,NA,NA
Cheilanthes sieberi ssp sieberi,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Chloris truncata,90,86,NA,0.108,NA,seed_mass,NA,NA
Chrysocephalum apiculatum,90,86,15.35,0.12,NA,NA,15.35,0.12
Chrysocephalum semipapposum,90,86,40.23,0.04,specific_leaf_area,seed_mass,NA,NA
Clematis microphylla,90,86,26.18,NA,NA,NA,26.18,NA
Convolvulus erubescens,90,86,NA,4.322,NA,seed_mass,NA,NA
Convolvulus remotus,90,86,NA,5.38,NA,NA,NA,5.38
Craspedia variabilis,90,86,39.4,0.32,specific_leaf_area,seed_mass,NA,NA
Crassula sieberiana,90,86,NA,0.01,NA,seed_mass,NA,NA
Cullen tenax,90,86,NA,5.26,NA,seed_mass,NA,NA
Cynoglossum suaveolens,90,86,13.88,4.44,specific_leaf_area,seed_mass,NA,NA
Daucus glochidiatus,90,86,18.45,0.78,specific_leaf_area,seed_mass,NA,NA
Deyeuxia quadriseta,90,86,NA,1.56,NA,NA,NA,1.56
Dianella amoena,90,86,NA,5.09,NA,NA,NA,5.09
Dianella revoluta,90,86,5.61,4.41,specific_leaf_area,seed_mass,NA,NA
Dichanthium sericeum ssp sericeum,90,86,NA,1.384,NA,NA,NA,1.384
Dichelachne crinita,90,86,20.27,0.65,specific_leaf_area,seed_mass,NA,NA
Dichelachne micrantha,90,86,NA,0.118,NA,seed_mass,NA,NA
Dichondra repens,90,86,35.48,3.19,specific_leaf_area,seed_mass,NA,NA
Dillwynia cinerascens,90,86,NA,4.324,NA,NA,NA,4.324
Diuris basaltica,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Diuris chryseopsis,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Diuris fragrantissima,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Diuris ochroma,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Diuris palustris,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Drosera peltata ssp peltata,90,86,32.29,0.002,specific_leaf_area,seed_mass,NA,NA
Drosera whittakeri ssp aberrans,90,86,26.07,0.34,specific_leaf_area,seed_mass,NA,NA
Einadia nutans ssp nutans,90,86,NA,0.78,NA,NA,NA,0.78
Elymus scaber,90,86,26.42,5.56,specific_leaf_area,seed_mass,NA,NA
Enchylaena tomentosa var tomentosa,90,86,NA,4.61,NA,NA,NA,4.61
Erodium crinitum,90,86,NA,4.26,NA,NA,NA,4.26
Eryngium ovinum,90,86,6.54,1.95,NA,seed_mass,6.54,NA
Eucalyptus camaldulensis,90,86,6.1,0.21,specific_leaf_area,seed_mass,NA,NA
Eucalyptus globulus ssp globulus,90,86,6.9,NA,NA,NA,6.9,NA
Eutaxia microphylla,90,86,10.28,3.818,NA,NA,10.28,3.818
Geranium retrorsum,90,86,NA,2.5,NA,NA,NA,2.5
Glycine latrobeana,90,86,NA,6.67,NA,NA,NA,6.67
Glycine tabacina,90,86,NA,8.08,NA,NA,NA,8.08
Gonocarpus tetragynus,90,86,8.65,0.47,specific_leaf_area,seed_mass,NA,NA
Goodenia pinnatifida,90,86,NA,3.27,NA,seed_mass,NA,NA
Hypericum gramineum,90,86,23.24,0.015,specific_leaf_area,seed_mass,NA,NA
Isoetopsis graminifolia,90,86,NA,0.9,NA,seed_mass,NA,NA
Juncus bufonius,90,86,33.31,0.012,specific_leaf_area,seed_mass,NA,NA
Kennedia prostrata,90,86,NA,15.69,NA,seed_mass,NA,NA
Lachnagrostis filiformis,90,86,28.9,0.1,specific_leaf_area,seed_mass,NA,NA
Leptorhynchos squamatus,90,86,12.983,0.1,NA,seed_mass,12.983,NA
Leptorhynchos tenuifolius,90,86,NA,0.89,NA,seed_mass,NA,NA
Linum marginale,90,86,NA,1.25,NA,NA,NA,1.25
Lomandra nana,90,86,7.135,0.638,NA,seed_mass,7.135,NA
Lotus australis,90,86,NA,2.83,NA,seed_mass,NA,NA
Lythrum hyssopifolia,90,86,NA,0.112,NA,NA,NA,0.112
Microlaena stipoides,90,86,33.02,3.86,specific_leaf_area,seed_mass,NA,NA
Minuria leptophylla,90,86,NA,0.86,NA,NA,NA,0.86
Oxalis perennans,90,86,34.44,0.32,specific_leaf_area,seed_mass,NA,NA
Panicum effusum,90,86,NA,0.715,NA,NA,NA,0.715
Pelargonium rodneyanum,90,86,NA,3.94,NA,seed_mass,NA,NA
Pimelea curviflora,90,86,NA,1.47,NA,NA,NA,1.47
Pimelea glauca,90,86,NA,2.545,NA,NA,NA,2.545
Plantago gaudichaudii,90,86,6.444,2.31,NA,seed_mass,6.444,NA
Poa labillardierei,90,86,NA,0.71,NA,seed_mass,NA,NA
Poa sieberiana,90,86,12.62,0.07,specific_leaf_area,seed_mass,NA,NA
Podolepis jaceoides,90,86,NA,1.37,NA,seed_mass,NA,NA
Prasophyllum suaveolens,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Pterostylis truncata,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Ptilotus macrocephalus,90,86,NA,1.297,NA,seed_mass (Jurado),NA,1.297
Ptilotus spathulatus forma spathulatus,90,86,NA,3.76,NA,seed_mass,NA,NA
Pycnosorus chrysanthes,90,86,NA,0.85,NA,NA,NA,0.85
Rhodanthe anthemoides,90,86,NA,0.829,NA,seed_mass,NA,NA
Rumex dumosus,90,86,NA,2.54,NA,seed_mass,NA,NA
Rutidosis leptorhynchoides,90,86,NA,1.37,NA,NA,NA,1.37
Schoenus apogon,90,86,NA,0.54,NA,seed_mass,NA,NA
Senecio hispidulus,90,86,19.68,0.05,specific_leaf_area,seed_mass,NA,NA
Senecio macrocarpus,90,86,NA,0.53,NA,NA,NA,0.53
Senecio quadridentatus,90,86,31.89,0.18,specific_leaf_area,seed_mass,NA,NA
Senecio squarrosus,90,86,NA,0.296,NA,NA,NA,0.296
Senecio tenuiflorus,90,86,41.45,0.28,specific_leaf_area,seed_mass,NA,NA
Solenogyne dominii,90,86,29.44,0.25,specific_leaf_area,seed_mass,NA,NA
Stylidium graminifolium,90,86,5.51,0.17,specific_leaf_area,seed_mass,NA,NA
Thelymitra arenaria,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Thelymitra aristata,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Thelymitra brevifolia,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Thelymitra pauciflora,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Thelymitra peniculata,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Thelymitra sp aff pauciflora,90,86,NA,1.00E-04,NA,NA,NA,1.00E-04
Themeda triandra,90,86,14.42,3.85,NA,seed_mass,14.42,NA
Tricoryne elatior,90,86,NA,5,NA,seed_mass,NA,NA
Velleia paradoxa,90,86,NA,5.19,NA,seed_mass,NA,NA
Vittadinia cuneata,90,86,NA,1.54,NA,seed_mass,NA,NA
Vittadinia gracilis,90,86,NA,0.987,NA,NA,NA,0.987
Vittadinia muelleri,90,86,NA,0.16,NA,NA,NA,0.16
Wahlenbergia communis,90,86,NA,0.01,NA,seed_mass,NA,NA
Wahlenbergia gracilenta,90,86,49.15,0.003,specific_leaf_area,seed_mass,NA,NA
Wahlenbergia luteola,90,86,NA,0.0104,NA,seed_mass,NA,NA
Wahlenbergia stricta ssp stricta,90,86,30.3,0.005,specific_leaf_area,seed_mass,NA,NA
Pseudognaphalium luteoalbum,90,86,66.37,0.003,specific_leaf_area,seed_mass,NA,NA
Thelymitra sp. aff. pauciflora,90,86,NA,1.00E-04,NA,seed_mass,NA,NA
Ptilotus spathulatus forma spathulatus,90,86,NA,3.76,NA,seed_mass,NA,NA
