taxon_name,authors
Lycopodium laterale,"Citation: R. Br., Prod. Fl. Nov. Holl. 165 (1810)."
Lycopodium serpentinum,"Citation: Kunze in Lehm., Pl. Preiss. 2:108 (1846)."
Lycopodium,"Citation: L., Sp. Pl. 1102 (1753)."
Lycopodium deuterodensum,"Citation: Herter, Index Lycopod. 15 (1949)."
Phylloglossum,"Citation: Kunze, Bot. Zeit. 1:721 (1843)."
Phylloglossum drummondii,"Citation: Kunze, Bot. Zeit. 1:721 (1843)."
Isoetes,"Citation: L., Sp. Pl. 1100 (1753)."
Isoetes drummondii,"Citation: A. Braun, Monatsber. K. Wiss. Berl. 1863:593 (1864)."
Isoetes muelleri,"Citation: A. Braun, Monatsber. K. Wiss. Berl. 1868:541 (1868)."
Selaginella,"Citation: P. Beauv., Mag. Encycl. 4:478 (1804)."
Selaginella gracillima,"Citation: Alston, J. Bot.,Lond. 69:257 (1931)."
Selaginella kraussiana,"Citation:  A. Braun, Ind. Sem. Hort. Berol. 22 (1859)."
Gleichenia,"Citation: Smith, M m. Acad. Turin 5:419 (1793)."
Gleichenia microphylla,"Citation: R. Br., Prod. Fl. Nov. Holl. 161 (1810)."
Botrychium,"Citation: Sw., J. Bot.(Schrader) 1800(2):8 (1801)."
Botrychium australe,"Citation: R. Br., Prod. Fl. Nov. Holl. 164 (1810)."
Ophioglossum,"Citation: L., Sp. Pl. 1062 (1753)."
Ophioglossum lusitanicum,"Citation: L., Sp. Pl. 1063 (1753)."
Ophioglossum polyphyllum,"Citation: A. Braun in Seub., Fl. Azor. 17 (1844)."
Todea,"Citation: Willd., Abh.Akad. Wiss. Erfurt 1:14 (1802)."
Todea barbara,"Citation: T. Moore, Ind. Fil. 119 (1857)."
Schizaeaceae,"Citation: Smith, M m.Acad. Turin 4:419 (1793)."
Schizaea bifida,"Citation: Willd., Abh. Akad. Wiss. Erfurt 1:30, t. 3, fig. 3 (1802)."
Schizaea fistulosa,"Citation: Labill., Nov. Holl. Pl. Sp. 2:103, t. 250, fig. 3 (1807)."
Dicksonia,"Citation: L'H r., Sert. Angl. 30 (1789)."
Dicksonia antarctica,"Citation: Labill., Nov. Holl. Pl. Sp. 2:100; t. 249 (1807)."
Dennstaedtia,"Citation: Bernh., J. Bot. (Schrader) 1800 (2): 124 (1801)."
Dennstaedtia davallioides,"Citation: T. Moore, Parker's cat. (1858)."
Histiopteris,"Citation: Agardh ex J. Smith, Hist. Fil. 294 (1875)."
Histiopteris incisa,"Citation: J. Smith, Hist. Fil. 295 (1875)."
Hypolepis,"Citation: Bernh., J. Bot. (Schrader) 1806, 1(2):34 (1806)."
Hypolepis dicksonioides,"Citation: Hook., Sp. Fil. 2:6 (1852)."
Hypolepis rugosula,"Citation: J. Smith, Curtis's Bot. Mag. 72, Cornpan. 8 (1846)."
Pteridium,"Citation: Scop., Fl. Carniolica 169 (1760)."
Pteridium esculentum,"Citation: Cockayne, Rep. Bot. Surv. Tongariro Nat. Park 34 (1908)."
Lindsaea,"Citation: Dryander ex Smith, M m. Acad. Turin 5: 413 (1793)."
Lindsaea linearis,"Citation: Sw., J. Bot. (Schrader) 1800 (2):78 (1801)."
Adiantum,"Citation: L., Sp. Pl. 1094 (1753)."
Adiantum aethiopicum,"Citation: L., Syst. Nat. edn 10,2:1329 (1759)."
Adiantum capillus-veneris,"Citation: -veneris, L., Sp. Pl. 1096 (1753)."
Anogramma,"Citation: Link, Fil. Sp. Cult. 137 (1841)."
Anogramma leptophylla,"Citation: Link, Fil. Sp. Cult. 137 (1841)."
Cheilanthes,"Citation: Sw., Synops. Fil. 5, 126 (1806)."
Cheilanthes austrotenuifolia,"Citation: H. Quirk & T.C. Chambers, Aust. J. Bot. 31:510 (1983)."
Cheilanthes distans,"Citation: Mett., Abh. Senckenb. naturf. Ges. 3:69 (1859)."
Cheilanthes lasiophylla,"Citation: Pichi-Serm., Webbia 8:209, fig. 3-6 (1951)."
Cheilanthes sieberi,"Citation: Kunze in Lehm., Pl. Preiss. 2:112 (1846)."
Cheilanthes sieberi pseudovellea,"Citation: H. Quirk & T.C. Chambers, Aust. J. Bot. 31:522, figs 12, 13 (1983)."
Cheilanthes sieberi sieberi,"Citation: Ill. Cunningham et al. (1982) Plants of western New South Wales, p. 30, as C. tenuifolia subsp. sieberi."
Paraceterach,"Citation: Copel., Gen. Fil. 75 (1947)."
Paraceterach reynoldsii,"Citation: Tind. in J. Black, Fl. S. Aust. 53 (1978)."
Pteris,"Citation: L., Sp. Pl. 1073 (1753)."
Pteris tremula,"Citation: R. Br., Prod. Fl. Nov. Holl. 154 (1810)"
Blechnum,"Citation: L., Sp. Pl. 1077 (1753)."
Blechnum chambersii,"Citation: Tind. in N. Beadle, O. Evans & Carolin, Fl. Sydney Reg. 86 (1972)."
Blechnum minus,"Citation:  Ettingsh., Denkschr. Akad. Wiss.,Wien 23:63, t. 8, figs 5 & 12 (1864)."
Blechnum nudum,"Citation: Mett. ex Luerssen, Verst. Heimatl. Fl. 292 (1876)."
Doodia caudata,"Citation: R. Br., Prod. Fl. Nov. Holl. 151 (1810)."
Blechnum wattsii,"Citation: Tind., Contr. N.S.W. natn. Herb. 3:247 (1963)."
Cyrtomium,"Citation: C. Presl, Tent. Pter. 86 (1836)."
Cyrtomium falcatum,"Citation: C. Presl, Tent. Pref. 86 (1836)."
Lastreopsis,"Citation: Ching, Bull. Fan 8:157 (1938)."
Lastreopsis acuminata,"Citation: C. Morton, Contr. U.S. natn. Herb. 38:245 (1973)."
Polystichum,"Citation: Roth in Roemer, Arch. Bot. 2:106 (1800)."
Polystichum proliferum,"Citation: C. Presl, Tent. Pter. 83 (1836)."
Asplenium,"Citation: L., Sp. Pl. 1078 (1753)."
Asplenium bulbiferum,"Citation: Forster f., Fl. Insul. Aust. Prod. 80 (1786)."
Asplenium flabellifolium,"Citation: Cav., Descr. Plant. 257 (1801)."
Asplenium trichomanes,"Citation: L., Sp. Pl. 1080 (1753)."
Pleurosorus,"Citation: F e, Gen. Fil. 179 (1852)."
Pleurosorus rutifolius,"Citation: F e, Gen. Fil. 179 (1852)."
Pleurosorus subglandulosus,"Citation: Tind., Victorian Nat. 73:169 (1957)."
Christella,"Citation: A. L veill , Fl. de Kouy-tch ou 472 (1915)."
Christella dentata,Citation: Brownsey & Jermy. Brit. Fern Gaz. 10:338 (1973).
Marsilea,"Citation: L., Sp. Pl. 1099 (1753)."
Marsilea drummondii,"Citation: A. Braun, Linnaea 25:721 (1853)."
Marsilea exarata,"Citation: A. Braun, Monatsber. K. Wiss. Berl. 732 (1870)."
Marsilea hirsuta,"Citation: R. Br., Prod. Fl. Nov. Holl. 167 (1810)."
Marsilea mutica,"Citation: Mett., Annls Sci. nat. s r. 4, 15:88 (1861)."
Pilularia,"Citation: L., Sp. Pl. 1100 (1753)."
Azolla,"Citation: Lam., Encycl. 1:343 (1783)."
Azolla pinnata,"Citation: R.Br., Prod. Fl. Nov. Holl. 167 (1810)."
Azolla filiculoides,"Citation: Lam., Encycl. 1:343 (1783)."
Pinaceae,Author:Prepared by J.P. Jessop
Pinus,"Citation: L., Sp. Pl. 1000 (1753)."
Pinus halepensis,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Pinus nigra,"Citation: A.F. Arnold, Reise nach Mariazell in Steyermark 8 (1785) var. maritima (Aiton)Melville, Kew Bull. 1958:534 (1959)."
