Species,Season,Season.Dev,Month,Year,Dev,Rep,Treatment,Time,gmin_mmol m-2 s-1,WC Sat.g,Leaf Area (m2),DW (g),LMA g/m2,Wcsat.g.m2,Wcsat.g.g,TLP.psi,TLP.RWC,tlp.rwc,Osmotic.FT.psi,Salinity,Average salinity,C.leaf.RWC,EM,RWCs TLP,psileaf.mean,psistem.mean,psi Gradient,Kleaf ,Kplant,Kplant.est,Rleaf,Rleafperc,Rplant,Rplant.est,Rstem and root,R.stem.root.perc,psi est,Photo,Cond,Ci,Ci/Ca,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,Status
Sonneratia alba,Late dry season,LateDryMat,11,2018,Mature,1,,,7.922,1.0379,0.0021388,0.391,182.8127922,485.2721152,2.654475703,-3.199,81.607,0.81607,-2.820078962,1.714285714,1.7428,5.4928,15.33234906,80.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Late dry season,LateDryMat,11,2018,Mature,2,,,8.238,1.2708,0.0027485,0.5322,193.6328907,462.361288,2.387824126,-3.0605,84.222,0.84222,-2.200704225,1.714285714,1.7428,5.0057,13.94792892,84.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Late dry season,LateDryMat,11,2018,Mature,3,,,4.636,0.9476,0.0020173,0.3609,178.9024934,469.7367769,2.625658077,-3.321,80.635,0.80635,-2.620545073,1.782857143,1.7428,5.5378,13.53237838,78.3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Late dry season,LateDryMat,11,2018,Mature,4,,,5.199,0.9201,0.00196698,0.3567,181.3439893,467.7729311,2.579478553,-2.948,83.067,0.83067,-2.239641657,1.817142857,1.7428,5.8272,13.22649062,81.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Late dry season,LateDryMat,11,2018,Mature,5,,,5.22,1.1906,0.0024187,0.3858,159.5071733,492.2479018,3.086054951,-2.982,80.732,0.80732,-2.467308167,1.714285714,1.7428,6.4083,12.80521158,80.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Late dry season,LateDryMat,11,2018,Mature,6,,,,1.4605,0.002952,0.5778,195.7317073,494.7493225,2.527691243,-3.125,80.192,0.80192,-1.952743605,1.714285714,1.7428,6.7993,9.858358264,65.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,1,,,5.654,0.9412,0.00251,0.391,155.7768924,374.9800797,2.407161125,-2.767,89.035,0.89035,-2.204585538,1.63,1.5957,3.9308,20.10565926,79.9124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,2,,,6.385,1.2094,0.00245,0.5364,218.9387755,493.6326531,2.254660701,-2.863,89.109,0.89109,-1.899335233,1.57,1.5957,4.6272,17.43949346,68.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,3,,,5.103,1.5143,0.00352,0.6702,190.3977273,430.1988636,2.259474784,-2.658,90.656,0.90656,-2.118644068,1.68,1.5957,3.427,22.67384491,79.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,4,,,6.67,1.3189,0.00232,0.5122,220.7758621,568.4913793,2.574970715,-2.534,91.121,0.91121,-2.06185567,1.645714286,1.5957,3.4258,23.22171044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,5,,,6.46,1.3428,0.00309,0.6148,198.9644013,434.5631068,2.184124919,-2.784,91.093,0.91093,-1.964636542,1.542857143,1.5957,2.9901,22.05721951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,6,,,7.06,1.0257,0.0025365,0.4724,186.2408831,404.3761088,2.171253175,-2.638,91.313,0.91313,-2.195389682,1.577142857,1.5957,3.3742,25.27212711,83.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,7,,,5.03,1.936,0.0039772,0.7863,197.7019008,486.7746153,2.462164568,-2.331,92.804,0.92804,-1.744896179,1.542857143,1.5957,2.9789,24.24814034,79.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,8,,,4.24,1.5153,0.0028675,0.6292,219.4245859,528.4394071,2.408296249,-2.211,90.793,0.90793,-1.554243084,1.68,1.5957,4.2078,16.88110225,76.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,9,,,5.9,1.7043,0.003519,0.8672,246.4336459,484.3137255,1.96529059,-2.166,91.697,0.91697,-1.783166904,1.54,1.5957,3.7415,21.47617613,85.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Early dry season,EarlDryMat,8,2018,Mature,10,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonneratia alba,Late dry season,,,,,,A,8,,,,,,,,,,,,,,,,,-2.89075,-2.5245,0.36625,11.25548242,10.32126104,2.959459384,0.115294279,0.305002859,0.132746143,0.378010485,0.262716207,69.49971413,-1.74,12.984,0.2162,271.6,0.7086,3.366,1.626,6,1,2.84,31.572,31.86,31.54,400.228,383.108,26.8052,30.7184,58.532,66.924,500.12,999.8,529.2,101.4,12.24,-0.0869,1,111105
Sonneratia alba,Late dry season,,,,,,A,11,,,,,,,,,,,,,,,,,-3.2698,-2.8652,0.4046,11.16193786,7.950935442,2.729445082,0.122620444,0.27041902,0.205920642,0.45344608,0.330825636,72.95809805,-1.74,13.716,0.1954,249,0.651,3.85,2.088,6,1,2.84,32.878,32.858,32.862,400.812,382.602,24.3926,28.877,49.304,58.288,500.14,999.6,295.2,101.3,12.34,-0.0525,0.94,111105
Sonneratia alba,Late dry season,,,,,,A,14,,,,,,,,,,,,,,,,,-3.5958,-2.873,0.32225,8.522630926,4.357439925,1.305380976,0.189240723,0.220442178,0.353760401,0.858459686,0.669218963,77.95578222,-1.74,7.9125,0.096175,240,0.61375,1.8225,1.9325,6,1,2.84,30.6625,31.455,30.5875,401.2675,390.9225,24.55075,26.67775,56.07,60.9225,500.1,999,137.5,101.05,11.45,0.001395,1,111105
