species,site,specific_leaf_area_mm2/mg,leaf_dry_matter_content_g/g,area_of_leaf_mm2,fire_response_detailed,max_plant_height_cm,growth form,Fire response
Thyridolepis mitchelliana,Trangie,17.66,0.302,81.1,NA,NA,NA,NA
Thyridolepis mitchelliana,Trangie,17.78,0.303,108.1,NA,NA,NA,NA
Thyridolepis mitchelliana,Trangie,16.02,0.298,79.4,NA,NA,NA,NA
Thyridolepis mitchelliana,Trangie,14.44,0.336,128.2,NA,NA,NA,NA
Thyridolepis mitchelliana,Trangie,15.6,0.344,56.2,NA,NA,NA,NA
Thyridolepis mitchelliana,Barrier Hwy 1,21.91,0.238,113.2,NA,NA,NA,NA
Thyridolepis mitchelliana,Barrier Hwy 1,21.33,0.269,124.8,NA,NA,NA,NA
Thyridolepis mitchelliana,Barrier Hwy 1,21.02,0.289,186.2,NA,NA,NA,NA
Thyridolepis mitchelliana,Barrier Hwy 1,19.2,0.33,78.7,NA,NA,NA,NA
Thyridolepis mitchelliana,Barrier Hwy 1,19.73,0.304,104.9,NA,NA,NA,NA
Vittadinia cuneata,Whooey Tank,19.92,0.24,NA,NA,NA,NA,NA
Vittadinia cuneata,Whooey Tank,25.83,0.217,NA,NA,NA,NA,NA
Vittadinia cuneata,Whooey Tank,19.25,0.244,NA,NA,NA,NA,NA
Vittadinia cuneata,Whooey Tank,21.44,0.224,NA,NA,NA,NA,NA
Vittadinia cuneata,Whooey Tank,23.66,0.231,NA,NA,NA,NA,NA
Vittadinia triloba,Mallee 2,23.49,0.26,NA,NA,NA,NA,NA
Vittadinia triloba,Mallee 2,24.35,0.238,NA,NA,NA,NA,NA
Vittadinia triloba,Mallee 2,17.8,0.282,NA,NA,NA,NA,NA
Vittadinia triloba,Mallee 2,15.27,0.31,NA,NA,NA,NA,NA
Vittadinia triloba,Mallee 2,18.02,0.302,NA,NA,NA,NA,NA
Vulpia bromoides,Trangie,27.44,0.229,18.5,NA,NA,NA,NA
Vulpia bromoides,Trangie,41.29,0.181,38.5,NA,NA,NA,NA
Monachather paradoxa,Condobolin,NA,NA,NA,NA,NA,grass,NA
Stipa variabilis,Condobolin,NA,NA,NA,NA,NA,grass,NA
Atriplex semibaccata,Booberoi,NA,NA,NA,w,24,subshrub,fire_killed
Atriplex stipitata,Whooey Tank,NA,NA,NA,w,73,subshrub,fire_killed
Beyeria opaca,Bay Area,NA,NA,NA,w,120,shrub,fire_killed
Bossiaea walkeri,Mallee 1,NA,NA,NA,s,207,shrub,resprouts
Callitris glaucophylla,Whooey Tank,NA,NA,NA,w,1358,tree,fire_killed
Calotis lappulacea,Whooey Tank,NA,NA,NA,s,31,forb,resprouts
Cassinia laevis,Mallee 2,NA,NA,NA,w,302,shrub,fire_killed
Cheilanthes tenuifolia,Booberoi,NA,NA,NA,w,23,fern,fire_killed
Chenopodium desertorum,Whooey Tank,NA,NA,NA,w,21,subshrub,fire_killed
Chenopodium desertorum microphyllum,Whooey Tank,NA,NA,NA,w,4,subshrub,fire_killed
Chrysocephalum semipapposum,Hill,NA,NA,NA,s,65,forb,resprouts
Digitaria divaricatissima,Round Hill,NA,NA,NA,s,33,grass,resprouts
Dodonaea viscosa angustissima,Round Hill Camp,NA,NA,NA,w,373,shrub,fire_killed
Dodonaea viscosa cuneata,Birdos,NA,NA,NA,w,227,shrub,fire_killed
Dodonaea viscosa spatulata,Round Hill Camp,NA,NA,NA,w,417,shrub,fire_killed
Einadia nutans,Whooey Tank,NA,NA,NA,w,17,subshrub,fire_killed
Enchylaena tomentosa,Whooey Tank,NA,NA,NA,w,24,subshrub,fire_killed
Eremophila glabra,Birdos,NA,NA,NA,s,163,shrub,resprouts
Eremophila longifolia,Whooey Tank,NA,NA,NA,s,585,shrub,resprouts
Eutaxia microphylla,Bay Area,NA,NA,NA,s,71,shrub,resprouts
Gonocarpus elatus,Micromyrtus,NA,NA,NA,s,22,forb,resprouts
Grevillea anethifolia,Lake Road,NA,NA,NA,w,43,shrub,fire_killed
Hakea tephrosperma,Whooey Tank,NA,NA,NA,w,1079,shrub,fire_killed
Lomandra leucocephala subsp robusta,Mallee 1,NA,NA,NA,s,58,graminoid,resprouts
Micromyrtus sessilis,Micromyrtus,NA,NA,NA,w,142,shrub,fire_killed
Minuria leptophylla,Whooey Tank,NA,NA,NA,s,13,forb,resprouts
Olearia pimeleoides,Mallee 2,NA,NA,NA,i,99,shrub,fire_killed
Panicum queenslandicum var queenslandicum,Booberoi,NA,NA,NA,i,37,grass,fire_killed
Pimelea microcephala,Birdos,NA,NA,NA,w,193,shrub,fire_killed
Rhagodia spinescens,Booberoi,NA,NA,NA,w,139,subshrub,fire_killed
Sclerolaena diacantha,Whooey Tank,NA,NA,NA,w,17,subshrub,fire_killed
Senna artemisioides,Birdos,NA,NA,NA,i,212,shrub,fire_killed
Sida cunninghamii,Whooey Tank,NA,NA,NA,s,12,forb,resprouts
Solanum ellipticum,Whooey Tank,NA,NA,NA,s,28,forb,resprouts
Solanum ferocissimum,Hill,NA,NA,NA,w,108,forb,fire_killed
Spartothamnella puberula,Birdos,NA,NA,NA,s,63,shrub,resprouts
Vittadinia cuneata,Whooey Tank,NA,NA,NA,w,20,forb,fire_killed
Vittadinia triloba,Mallee 2,NA,NA,NA,w,32,forb,fire_killed
Aristida contorta,Sturt National Park,NA,NA,NA,NA,NA,grass,NA
Enneapogon avenaceus,Sturt National Park,NA,NA,NA,NA,NA,grass,NA
Eragrostis eriopoda,Sturt National Park,NA,NA,NA,NA,NA,grass,NA
Chloris truncata,Trangie,NA,NA,NA,NA,30.7,grass,NA
Chloris ventricosa,Trangie,NA,NA,NA,NA,65,grass,NA
Danthonia pilosa,Trangie,NA,NA,NA,NA,50,grass,NA
Digitaria ammophila,Trangie,NA,NA,NA,NA,NA,grass,NA
Digitaria brownii,Trangie,NA,NA,NA,NA,36,grass,NA
Enneapogon flavescens,Trangie,NA,NA,NA,NA,45,grass,NA
Eragrostis cilianensis,Trangie,NA,NA,NA,NA,NA,grass,NA
Eragrostis lacunaria,Trangie,NA,NA,NA,NA,59,grass,NA
Erodium cygnorum,Trangie,NA,NA,NA,NA,60,forb,NA
Hordeum leporinum,Trangie,NA,NA,NA,NA,30,grass,NA
Panicum effusum,Trangie,NA,NA,NA,NA,NA,grass,NA
Sporobolus caroli,Trangie,NA,NA,NA,NA,47.5,grass,NA
Stipa aristiglumis,Trangie,NA,NA,NA,NA,100,grass,NA
Stipa bigeniculata,Trangie,NA,NA,NA,NA,NA,grass,NA
Stipa elegantissima,Trangie,NA,NA,NA,NA,NA,grass,NA
Stipa falcata,Trangie,NA,NA,NA,NA,60,grass,NA
Stipa setacea,Trangie,NA,NA,NA,NA,45,grass,NA
Vulpia bromoides,Trangie,NA,NA,NA,NA,32.5,grass,NA
Aristida jerichoensis var subspinulifera,Whooey Tank,NA,NA,NA,i,36,grass,resprouts
Calotis cuneifolia,Whooey Tank,NA,NA,NA,w,23,forb,fire_killed
Danthonia caespitosa,Booberoi,NA,NA,NA,i,31,grass,resprouts
Digitaria coenicola,Booberoi,NA,NA,NA,s,50,grass,resprouts
Enteropogon acicularis,Booberoi,NA,NA,NA,s,32,grass,resprouts
Paspalidium constrictum,Booberoi,NA,NA,NA,s,32,grass,resprouts
Themeda triandra,Booberoi,NA,NA,NA,s,108,grass,resprouts
Thyridolepis mitchelliana,Whooey Tank,NA,NA,NA,s,14,grass,resprouts
