family,taxa,spauth,infraspecauth,species3author,thousandseedweight,materialweigheddesc,seedweightnotes,weightprecision,refdesc,refshort
ACANTHACEAE,Avicennia marina,(Forssk.) Vierh.,,,3400,Seed,air-dry seeds,0,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
ACANTHACEAE,Brunoniella pumilio,(R.Br.) Bremek.,,,1.2392,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ACANTHACEAE,Dicliptera armata,F.Muell.,,,1.7024,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ACANTHACEAE,Isoglossa eranthemoides,(F.Muell.) R.M.Barker,,,0.9845588,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ACHARIACEAE,Baileyoxylon lanceolatum,C.T.White,,,1700,Seed,oven dry,0,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
ACTINIDIACEAE,Saurauia andreana,F.Muell.,,,0.057,Seed,oven dry,3,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
ADOXACEAE,Sambucus australasica,(Lindl.) Fritsch,,,1.7,Seed,oven dry,1,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
ADOXACEAE,Sambucus australasica,(Lindl.) Fritsch,,,2.0912,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ADOXACEAE,Sambucus gaudichaudiana,DC.,,,1.9116,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ADOXACEAE,Sambucus gaudichaudiana,DC.,,,2.0028,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Carpobrotus glaucescens,(Haw.) Schwantes,,,0.2328,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Carpobrotus modestus,S.T.Blake,,,0.1688,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Carpobrotus modestus,S.T.Blake,,,0.1104,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Carpobrotus rossii,(Haw.) Schwantes,,,0.218,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Disphyma crassifolium,(L.) L.Bolus,,,0.1376,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Disphyma crassifolium,(L.) L.Bolus,,,0.1056,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis calcarea,Chinnock,,,0.2976,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis calva,Chinnock,,,0.0648,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis calva,Chinnock,,,0.1036,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis glabra,(Ewart) C.A.Gardner,,,0.12,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"Touchell, D.H. and Dixon, K.W. 1993. Cryopreservation of seed of Western Australian native species. Biodiversity and Conservation, 2(6):594-602.","(Touchell & Dixon, 1993)"
AIZOACEAE,Gunniopsis papillata,Chinnock,,,0.10772,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis quadrifida,(F.Muell.) Pax,,,0.8124,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis septifraga,(F.Muell.) Chinnock,,,0.16116,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis tenuifolia,Chinnock,,,0.7,Seed,*Seed weights reported may include minor covering structures,1,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis zygophylloides,(F.Muell.) Diels,,,0.4156,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Gunniopsis zygophylloides,(F.Muell.) Diels,,,0.3024,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Sarcozona bicarinata,S.T.Blake,,,0.0976,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Sarcozona praecox,(F.Muell.) S.T.Blake,,,0.138,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,,0.391,Seed,,2,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,,0.67,Seed,,2,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,,0.3728,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,,0.4144,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,,0.4882,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Sesuvium portulacastrum,(L.) L.,,,0.5868,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,,1.16,Seed,oven dry,2,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,,1.703,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,,2.1217,Seed,,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,,76.9,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"Felfoldi, E. 1980. Seed Counts (Numbers of Seeds Per Unit Weight). Technical Report Series, 32. Government of Victoria, Department of Agriculture.","(Felfoldi, 1980)"
AIZOACEAE,Tetragonia tetragonoides,(Pall.) Kuntze,,,77,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",1,"Cromarty, A.S., Ellis, R.H. and Roberts, E.H. 1982. The Design of Seed Storage Facilities for Genetic Conservation. Rome: International Board for Plant Genetic Resources.","(Cromarty et al., 1982)"
AIZOACEAE,Zaleya galericulata subsp. galericulata,(Melville) H.Eichler,,,0.6648,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
AIZOACEAE,Zaleya galericulata subsp. galericulata,(Melville) H.Eichler,,,5.36264,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma lanceolatum,With.,,,0.4976,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma lanceolatum,With., ,,0.4776,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma lanceolatum,With.,,,0.442,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.27,Germinule,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"Grime, J.P., Mason, G., Curtis, A.A., Rodman, J., Band, S.R., Mowforth, M.A.G., Neal, A.M. and Shaw, S. 1981. A comparative study of germination characteristics in a local flora. Journal of Ecology, 69:1017-1059.","(Grime et al., 1981)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.33,Seed,Dry weight,2,"Shipley, B. and Parent, M. 1991. Germination responses of 64 wetland species in relation to seed size, minimum time to reproduction and seedling relative growth rate. Functional Ecology, 5:111-118.","(Shipley & Parent, 1991)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.4,Seed+pericarp,"Seed mc not stated, but weight is likely to refer to air-dry seed.",1,"Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236.","(Barclay & Earle, 1974)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.55,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.55,Seed,Weight refers to air-dry seed.,3,"Stevens, O.A. 1932. The number and weight of seeds produced by weeds. American Journal of Botany, 19:784-794.","(Stevens, 1932)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.573,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.644,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",3,"Baker Seed Herbarium, California.","(Baker Seed Herbarium, California)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.468,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.3872,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.6164,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.6012,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.6004,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.486,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.3892,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.3204,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.368,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.36,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
ALISMATACEAE,Alisma plantago-aquatica,L.,,,0.34,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
