name_original,metadata_id,primary_source,raw_trait_value,trait,units,merge_code,merge_code_detailed
Abrus precatorius subsp. africanus,19,10,74.79,seed mass,mg,repeat,exact repeat
Austrosteenisia blackii,19,10,18.43,seed mass,mg,repeat,exact repeat
Austrosteenisia blackii var. astipella,19,10,18.43,seed mass,mg,keep,no subspecies now
Austrosteenisia blackii var. blackii,19,10,18.43,seed mass,mg,keep,no subspecies now
Billardiera scandens,19,10,1.09,seed mass,mg,repeat,exact repeat
Billardiera scandens var. brachyantha,19,10,1.09,seed mass,mg,keep,no subspecies now
Billardiera scandens var. scandens,19,10,1.09,seed mass,mg,keep,no subspecies now
Billardiera scandens var. sericata,19,10,1.09,seed mass,mg,keep,no subspecies now
Caesalpinia bonduc,19,10,2108.8,seed mass,mg,repeat,"different mass, same species"
Calamus australis,19,10,410,seed mass,mg,repeat,exact repeat
Calamus caryotoides,19,10,97.71,seed mass,mg,repeat,exact repeat
Calystegia marginata,19,10,12.62,seed mass,mg,repeat,exact repeat
Canavalia rosea,19,10,609.71,seed mass,mg,repeat,"different mass, same species"
Carissa ovata,19,10,50.76,seed mass,mg,repeat,"different mass, same species"
Cassytha filiformis,19,10,43.65,seed mass,mg,repeat,"different mass, same species"
Cassytha pubescens,19,10,48.6,seed mass,mg,repeat,"different mass, same species"
Cephalaralia cephalobotrys,19,10,4,seed mass,mg,repeat,exact repeat
Cissus antarctica,19,10,65.4,seed mass,mg,repeat,exact repeat
Cissus hypoglauca,19,10,39.11,seed mass,mg,repeat,"different mass, same species"
Cissus repens,19,10,32,seed mass,mg,repeat,exact repeat
Clematis aristata,19,10,0.29,seed mass,mg,repeat,exact repeat
Clematis aristata var. longisepala,19,10,0.29,seed mass,mg,keep,no subspecies now
Clematis aristata var. occidentalis,19,10,3.85,seed mass,mg,keep,no subspecies now
Clematis glycinoides,19,10,1.87,seed mass,mg,repeat,"different mass, same species"
Clematis glycinoidesvar. glycinoides,19,10,1.87,seed mass,mg,keep,no subspecies now
Clematis glycinoidesvar. submutica,19,10,1.87,seed mass,mg,keep,no subspecies now
Coelospermum paniculatum,19,10,16.99,seed mass,mg,repeat,exact repeat
Coelospermum paniculatum var. paniculatum,19,10,16.99,seed mass,mg,keep,no subspecies now
Coelospermum paniculatum var. syncarpum,19,10,16.99,seed mass,mg,repeat,exact repeat
Colubrina asiatica,19,10,26.7,seed mass,mg,repeat,"different mass, same species"
Colubrina asiatica var. asiatica,19,10,26.7,seed mass,mg,keep,no subspecies now
Comesperma volubile,19,10,1.609,seed mass,mg,repeat,"different mass, same species"
Deeringia amaranthoides,19,10,0.19,seed mass,mg,repeat,exact repeat
Deeringia arborescens,19,10,0.17,seed mass,mg,keep,different species
Derris involuta,19,10,22.45,seed mass,mg,repeat,exact repeat
Desmodium rhytidophyllum,19,10,2.11,seed mass,mg,repeat,exact repeat
Desmodium rhytidophyllum subsp. rhytidophyllum,19,10,2.11,seed mass,mg,keep,no subspecies now
Desmodium rhytidophyllumsubsp. acutifoliolum,19,10,2.11,seed mass,mg,keep,no subspecies now
Diplocyclos palmatus,19,10,10.42,seed mass,mg,repeat,"different mass, same species"
Diplocyclos palmatus subsp. affinis,19,10,10.42,seed mass,mg,repeat,"different mass, same species"
Diplocyclos palmatus subsp. palmatus,19,10,10.42,seed mass,mg,keep,no subspecies now
Eustrephus latifolius,19,10,13.72,seed mass,mg,repeat,exact repeat
Eustrephus latifolius subsp. angustifolius,19,10,13.72,seed mass,mg,keep,no subspecies now
Eustrephus latifolius var. angustifolius,19,10,13.72,seed mass,mg,keep,no subspecies now
Flagellaria indica,19,10,42.73,seed mass,mg,repeat,"different mass, same species"
Geitonoplesium cymosum,19,10,15.32,seed mass,mg,repeat,exact repeat
Glycine clandestina,19,10,4.5,seed mass,mg,repeat,"different mass, same species"
Glycine clandestina var .sericea,19,10,4.5,seed mass,mg,keep,no subspecies now
Glycine clandestina var. clandestina,19,10,4.5,seed mass,mg,keep,no subspecies now
Glycine tabacina,19,10,4.36,seed mass,mg,repeat,"different mass, same species"
Hibbertia scandens,19,10,7.49,seed mass,mg,repeat,exact repeat
Hibbertia scandens var glabra,19,10,7.49,seed mass,mg,keep,no subspecies now
Hibbertia scandens var oxyphylla,19,10,7.49,seed mass,mg,keep,no subspecies now
Hibbertia scandens var scandens,19,10,7.49,seed mass,mg,keep,no subspecies now
Hippocratea barbata,19,10,41.5,seed mass,mg,repeat,exact repeat
Hoya australis,19,10,2.01,seed mass,mg,repeat,exact repeat
Hoya australis subsp. australis,19,10,2.01,seed mass,mg,keep,no subspecies now
Hoya australis subsp. ormicola,19,10,2.01,seed mass,mg,keep,no subspecies now
Hoya australis subsp. rupicola,19,10,2.01,seed mass,mg,keep,no subspecies now
Hoya australis subsp. sanae,19,10,2.01,seed mass,mg,keep,no subspecies now
Hoya australis subsp. tenuipes,19,10,2.01,seed mass,mg,keep,no subspecies now
Hydrocotyle acutiloba,19,10,0.104,seed mass,mg,repeat,"different mass, same species"
Hypserpa laurina,19,10,43,seed mass,mg,repeat,exact repeat
Jasminum didymum,19,10,68.76,seed mass,mg,repeat,exact repeat
Jasminum didymum subsp didymum,19,10,170,seed mass,mg,repeat,exact repeat
Jasminum elongatum,19,10,170,seed mass,mg,keep,different species
Jasminum volubile,19,10,55.17,seed mass,mg,repeat,exact repeat
Kennedia rubicunda,19,10,25.5,seed mass,mg,repeat,"different mass, same species"
Legnephora moorei,19,10,20,seed mass,mg,repeat,exact repeat
Maclura cochinchinensis,19,10,9,seed mass,mg,repeat,exact repeat
Mallotus repandus,19,10,29,seed mass,mg,repeat,"different mass, same species"
Melodinus australis,19,10,65,seed mass,mg,repeat,exact repeat
Melodorum leichhardtii,19,10,165.32,seed mass,mg,repeat,"different mass, same species"
Morinda jasminoides,19,10,7.9,seed mass,mg,keep,different species
Mucuna gigantea,19,10,3841,seed mass,mg,repeat,"different mass, same species"
Muehlenbeckia adpressa,19,10,5.32,seed mass,mg,repeat,"different mass, same species"
Muehlenbeckia gracillima,19,10,3.2,seed mass,mg,repeat,exact repeat
Neosepicaea jucunda,19,10,20,seed mass,mg,repeat,exact repeat
Pandorea jasminoides,19,10,9.34,seed mass,mg,repeat,exact repeat
