Name,Site,slope position,soil conductivity (uS/cm),soil pH (CaCl2),"soil P, total (mg/kg)","soil P, inorganic (mg/kg)","soil P, organic (mg/kg)","soil P, Resin (mg/kg)"
Banksia menziesii,Badgingarra National Park location 01,Bottom,17 ± 1,4.5 ± 0,4.5 ± 0.6,0.18 ± 0.01,4.3 ± 0.5,0.23 ± 0.00
Banksia attenuata,Badgingarra National Park location 02,Bottom,14 ± 1,4.5 ± 0.1,3.9 ± 0.5,0.19 ± 0.03,3.7 ± 0.4,0.22 ± 0.04
Banksia candolleana,Badgingarra National Park location 03,Slope,17 ± 1,4.6 ± 0.1,4.2 ± 0.8,0.16 ± 0.05,4.0 ± 0.7,0.27 ± 0.01
Banksia chamaephyton,Badgingarra National Park location 04,Slope,15 ± 5,4.6 ± 0,3.4 ± 0.6,0.12 ± 0.01,3.3 ± 0.5,0.24 ± 0.05
Banksia glaucifolia,Badgingarra National Park location 05,Laterite,23 ± 4,4.6 ± 0.1,12.2 ± 2.6,0.48 ± 0.12,11.7 ± 2.5,0.16 ± 0.04
Hakea flabellifolia,Badgingarra National Park location 06,Slope,27 ± 7,4.7 ± 0.1,5.5 ± 1.1,0.07 ± 0.03,5.4 ± 1.0,0.17 ± 0.02
Hakea auriculata,Badgingarra National Park location 07,Top,21 ± 4,5.0 ± 0.1,8.3 ± 0.9,0.12 ± 0.02,8.2 ± 0.9,0.10 ± 0.02
Hakea conchifolia,Badgingarra National Park location 08,Laterite,27 ± 1,4.5 ± 0,16.7 ± 1.8,0.52 ± 0.13,16.2 ± 1.6,0.11 ± 0.02
Hakea conchifolia-x,Badgingarra National Park location 09,Slope,21 ± 5,4.6 ± 0,4.2 ± 0.7,0.05 ± 0.02,4.2 ± 0.7,0.23 ± 0.07
Hakea incrassata,Badgingarra National Park location 10,Top,22 ± 2,4.8 ± 0.1,9.0 ± 1.1,0.15 ± 0.03,8.9 ± 1.1,0.14 ± 0.03
Hakea prostrata,Badgingarra National Park location 11,Slope,22 ± 6,4.5 ± 0.1,4.5 ± 1.5,0.08 ± 0.03,4.4 ± 1.5,0.20 ± 0.08
