var_name,trait_name,unit
13C %,leaf_delta13C,per mille
leaf area mm2,leaf_area,mm2
LMA gm2,leaf_mass_per_area,g/m2
WD g cm3,wood_density,mg/mm3
Height (m),plant_height,m
