name_original,site_ID,13C %,leaf area mm2,LMA gm2,WD g cm3,Height (m)
Acronychia acronychioides,Herberton_39,-33.2,44.24,116.03,0.58,15
Alangium villosum,Herberton_39,-33.39,27.2,67.84,0.54,20
Alphitonia whitea,Herberton_39,-31.52,74.91,163.81,0.58,20
Archirhodomyrtus beckleri,Herberton_39,-30.14,15.58,118.5,0.53,7
Brackenridgea australiana,Herberton_39,-33.77,49.88,114.84,0.77,6.5
Cardwellia sublimis,Herberton_39,-30.08,76.19,110.69,0.56,20
Casearia costulata,Herberton_39,-32.65,21.22,90.41,0.65,6
Castanospora alphandii,Herberton_39,-34.18,52.13,97.93,0.63,17
Croton triacros,Herberton_39,-32.37,44.88,99.17,0.57,10
Daphnandra repandula,Herberton_39,-34.24,40.33,48.98,0.5,9
Darlingia darlingiana,Herberton_39,-31.26,97.35,149.57,0.69,23
Doryphora aromatica,Herberton_39,-34.55,45.49,76.03,0.55,18
Eupomatia laurina,Herberton_39,-34.54,75.65,69.45,0.5,7
Ficus leptoclada,Herberton_39,-33.32,18.95,76.94,0.48,13
Flindersia brayleyana,Herberton_39,-31.36,84.97,171.32,0.52,25
Flindersia pimenteliana,Herberton_39,-30.37,22.95,93.81,0.5,25
Geissois biagiana,Herberton_39,-33.38,129.51,103.3,0.46,25
Guioa lasioneura,Herberton_39,-33.49,23.59,128.83,0.72,9.5
Hedycarya loxocarpa,Herberton_39,-34.76,74.66,68.75,0.51,1.6
Litsea connorsii,Herberton_39,-32.34,29.6,118.35,0.5,16
Macaranga subdentata,Herberton_39,-31.05,50.26,82.92,0.58,14
Myrsine porosa,Herberton_39,-34.75,36.31,80.65,0.68,8
Neolitsea dealbata,Herberton_39,-33.48,86.03,102.2,0.47,20
Pittosporum wingii,Herberton_39,-34.13,36.36,60.34,0.67,10
Polyosma alangiacea,Herberton_39,-32.05,59.94,90.62,0.63,20
Polyscias australiana,Herberton_39,-33.55,63.09,64.38,0.41,16
Sloanea langii,Herberton_39,-31.81,76.66,153.16,0.53,20
Steganthera laxiflora,Herberton_39,-34.49,64.02,71.09,0.5,7
Symplocos cochinchinensis,Herberton_39,-32.06,121.45,127.06,0.57,22
Tasmannia insipida,Herberton_39,-34.08,24.67,74.69,0.57,4.5
Toona ciliata,Herberton_39,-28.02,66.4,61.96,0.53,30
Alstonia mulleriana,Herberton_39,-32.66,58.6,95.54,0.67,20
Breynia stipitata,Herberton_39,-33.82,13.57,85.73,0.73,3.5
Callicarpa pedunculata,Herberton_39,-32.6,48.13,45.32,0.69,1.3
Cryptocarya vulgaris,Herberton_39,-32.14,27.04,125.89,0.7,12
Duboisia myoporoides,Herberton_39,-34.42,22.74,56.12,0.32,6
Endiandra discolor,Herberton_39,-31.19,23.37,131.48,0.58,8
Eucalyptus grandis,Herberton_39,-30.06,26.28,156.09,0.59,58
Eucalyptus macta,Herberton_39,-29.94,24.05,211.4,0.63,34
Euroschinus falcatus,Herberton_39,-31.04,40.42,76.95,0.45,25
Glochidion sumatranum,Herberton_39,-32.64,36.93,90.08,0.58,16
Guioa acutifolia,Herberton_39,-32.16,31.13,137.28,0.74,8
Litsea leefeana,Herberton_39,-33.17,74.28,95.3,0.49,14
Lophostemon suaveolens,Herberton_39,-30.74,32.27,171.59,0.57,30
Macaranga involucrata,Herberton_39,-31.51,102.12,66.89,0.42,3
Melicope elleryana,Herberton_39,-32.94,125.07,61.41,0.41,23
Pomaderris argyrophylla,Herberton_39,-31,23.88,158.68,0.76,5
Psychotria loniceroides,Herberton_39,-33.28,9.52,88.87,0.69,1
Rhodomyrtus canescens,Herberton_39,-33.64,12.34,99.12,0.69,1.7
Schizomeria ovata,Herberton_39,-31.32,21.26,135.62,0.54,8
Trema tomentosa,Herberton_39,-33.02,21.79,59.04,0.46,2.5
Wikstroemia indica,Herberton_39,-32.69,8.36,39.75,0.58,2.5
Wilkiea pubescens,Herberton_39,-28.88,25.62,90.67,0.6,4
Acacia calyculata,Herberton_39,-30.47,5.77,209.56,0.77,1.56
Acacia flavescens,Herberton_39,-32.82,63.54,137.88,0.8,9
Banksia aquilonia,Herberton_39,-32.62,13.82,213.62,0.72,20
Corymbia leptoloma,Herberton_39,-29.06,24.24,192.81,0.63,19
Eucalyptus crebra,Herberton_39,-31.89,14.62,260.48,0.7,27
Eucalyptus mediocris,Herberton_39,-30.52,16.32,217.65,0.69,15
Eucalyptus tereticornis,Herberton_39,-30.62,29.38,195.14,0.62,27
Eucalyptus tindaliae,Herberton_39,-31.94,19,207.51,0.61,24
Ficus opposita,Herberton_39,-33,55.65,120.86,0.44,4
Hakea plurinervia,Herberton_39,-29.35,19.81,195.81,0.72,1.6
Hibbertia melhanioides,Herberton_39,-30.27,3.99,164.54,0.59,1.2
Hibbertia stirlingii,Herberton_39,-29.65,0.17,139.46,0.61,0.35
Persoonia falcata,Herberton_39,-34.47,13.5,209.19,0.63,3.7
Petalostigma pubescens,Herberton_39,-29.22,9.43,189.21,0.77,1.02
Pomaderris canescens,Herberton_39,-30.25,13.88,163.81,0.78,2.05
Pultenaea millarii,Herberton_39,-29.84,0.57,93.67,0.87,1.14
Syncarpia glomulifera,Herberton_39,-30.22,10.57,163.69,0.63,20
Anodopetalum biglandulosum,Arve Valley_39,-31.69,4.58,105.95,0.64,15
Anopterus glandulosus,Arve Valley_39,-29.46,39.2,142.73,0.59,10
Aristotelia peduncularis,Arve Valley_39,-34.39,10.32,44.23,0.77,4
Atherosperma moschatum,Arve Valley_39,-28.89,8.36,116.1,0.57,45
Cenarrhenes nitida,Arve Valley_39,-32.75,20.98,165.71,0.73,10
Eucryphia lucida,Arve Valley_39,-31.05,5.01,126.25,0.59,30
Leptospermum laenigerum,Arve Valley_39,-31.14,0.5,119.81,0.63,30
Nothofagus cunninghamii,Arve Valley_39,-30.39,1.16,130,0.53,50
Olearia persoonioides,Arve Valley_39,-32.03,3.53,153.75,0.73,4
Orites diversifolia,Arve Valley_39,-33.71,10.46,149.4,0.75,8
Tasmannia lanceolata,Arve Valley_39,-29.4,8.06,112.05,0.57,8
Telopea truncata,Arve Valley_39,-31.84,11.21,238.8,0.67,8
Trochocarpa cunninghamii,Arve Valley_39,-33.03,0.34,142.86,0.66,1.5
Trochocarpa disticha,Arve Valley_39,-35.04,0.92,104.56,0.67,5
Trochocarpa gunnii,Arve Valley_39,-31.64,0.47,111.38,0.67,7
Acacia dealbata,Arve Valley_39,-31.01,0.04,89.85,0.48,33
Acacia melanoxylon,Arve Valley_39,-30.19,13.12,134.42,0.54,30
Acacia verniciflua,Arve Valley_39,-32.16,4.67,93.74,0.62,8
Bedfordia salicina,Arve Valley_39,-32.79,29.55,87.94,0.65,7
Cassinia trinervia,Arve Valley_39,-33.91,2.76,46.21,0.52,7
Coprosma quadrifida,Arve Valley_39,-32.58,1.01,51.57,0.66,4
Cyathodes glauca,Arve Valley_39,-31.91,0.92,160.84,0.77,3.5
Eucalyptus delegatensis,Arve Valley_39,-31.96,29.63,186.86,0.53,87
Eucalyptus obliqua,Arve Valley_39,-31.04,40.98,179.39,0.62,90
Eucalyptus regnans,Arve Valley_39,-31.88,32.86,154.18,0.6,99.6
Gaultheria hispida,Arve Valley_39,-32.67,4.93,113.81,0.5,2
Melaleuca squarrosa,Arve Valley_39,-31.49,0.53,93.24,0.59,11
Monotoca glauca,Arve Valley_39,-32.88,1.73,132.5,0.63,6
Nematolepis squamea,Arve Valley_39,-31.26,5.71,122.03,0.77,10
Olearia argophylla,Arve Valley_39,-30.81,41.67,114.65,0.67,10
Olearia lirata,Arve Valley_39,-30.95,20.8,58.69,0.57,3
Oxylobium arborescens,Arve Valley_39,-31.41,1.92,143.79,0.7,3.2
Pimelea cinerea,Arve Valley_39,-34.05,2.12,92.13,0.52,2
Pimelea drupacea,Arve Valley_39,-34.61,4.23,56.65,0.43,3
Pittosporum bicolor,Arve Valley_39,-33.39,4.89,117,0.68,14
Pomaderris apetala,Arve Valley_39,-32.03,20.51,124.12,0.6,13
Prostanthera lasianthos,Arve Valley_39,-32.05,14.74,63.11,0.58,6
Zieria arborescens,Arve Valley_39,-30.53,7.59,64.48,0.77,6
Acacia genistifolia,Arve Valley_39,-30.29,0.23,286.95,0.69,1.2
Acacia myrtifolia,Arve Valley_39,-30.25,2.22,171.3,0.63,1
Acacia stricta,Arve Valley_39,-32.53,3.94,138.34,0.74,1.75
Astroloma humifusum,Arve Valley_39,-32.97,0.11,120.06,0.76,0.06
Banksia marginata,Arve Valley_39,-30.74,2.66,199.31,0.61,5
Bedfordia linearis,Arve Valley_39,-31.09,2.68,166.91,0.77,3
Bursaria spinosa,Arve Valley_39,-31.16,0.36,156.78,0.72,2.2
Callistemon pallidus,Arve Valley_39,-30.54,3.53,202.14,0.75,4
Correa reflexa,Arve Valley_39,-31.65,4.08,94.79,0.77,0.8
Epacris impressa,Arve Valley_39,-31.39,0.13,156.54,0.72,1.6
Eucalyptus pulchella,Arve Valley_39,-30.94,4.22,206.79,0.61,13
Eucalyptus viminalis,Arve Valley_39,-30.23,15.48,226.69,0.67,22
Hibbertia riparia,Arve Valley_39,-31.77,0.1,166.46,0.82,0.6
Leptecophylla juniperina,Arve Valley_39,-33.92,0.1,149.82,0.84,2
Leucopogon collinus,Arve Valley_39,-29.54,0.07,91.06,0.78,1.7
Lomatia tinctoria,Arve Valley_39,-30.97,0.31,188.72,0.78,0.55
Philotheca verrucosa,Arve Valley_39,-29.88,0.2,217.1,0.82,1.4
Pimelea nivea,Arve Valley_39,-30.27,0.59,144.09,0.53,1.5
Pultenaea juniperina,Arve Valley_39,-31.98,0.17,131.5,0.88,2.2
Veronica formosa,Arve Valley_39,-29.45,0.26,109.38,0.69,1.7
