Species,Temp,CO2,Potnum,Replicate,AirSpace (%),Pali (%),Pali2Air,EpiT (um),LaminaT (um),PaliCellL (um),PaliCellW (um),PaliLayNum,EpiDen (mm-2),StomDen (mm-2),SI (%)
E. sideroxylon,Amb,280,252,1,12.95694003,87.04305997,6.717871639,20.32558,254.7047,34.82454,9.275669,5,1901.315789,467.1052632,19.72222222
E. sideroxylon,Amb,280,252,1,37.44133333,62.55866667,1.670845056,18.62631,254.7012,38.56989,9.064124,5,1973.684211,473.6842105,19.35483871
E. sideroxylon,Amb,280,252,1,25.90721407,74.09278593,2.859928733,18.35247,270.9164,31.93237,7.835211,5,2105.263158,500,19.19191919
E. sideroxylon,Amb,280,252,1,23.35712214,76.64287786,3.281349362,15.57998,245.9193,37.21476,8.789292,5,2078.947368,401.3157895,16.18037135
E. sideroxylon,Amb,280,252,1,24.99676409,75.00323591,3.000517813,19.68101,251.9988,40.34553,7.165819,5,2078.947368,401.3157895,16.18037135
E. sideroxylon,Amb,280,252,1,20.51535961,79.48464039,3.874396643,17.0302,255.3768,42.32621,8.68481,,1888.157895,394.7368421,17.29106628
E. sideroxylon,Amb,280,252,1,,,,19.94844,248.6208,36.83414,8.121262,,,,
E. sideroxylon,Amb,280,252,1,,,,17.01854,241.8657,37.88784,8.121262,,,,
E. sideroxylon,Amb,280,252,1,,,,18.79685,249.9729,23.71827,10.16211,,,,
E. sideroxylon,Amb,280,252,1,,,,,256.0533,34.14454,7.431599,,,,
E. sideroxylon,Amb,280,252,1,,,,,252.6744,35.4706,8.451752,,,,
E. sideroxylon,Amb,280,252,1,,,,,244.5681,33.91653,5.415345,,,,
E. sideroxylon,Amb,280,252,1,,,,,256.7315,43.66383,6.418199,,,,
E. sideroxylon,Amb,280,252,1,,,,,245.9193,39.9519,7.125898,,,,
E. sideroxylon,Amb,280,252,1,,,,,257.4177,28.41538,7.907694,,,,
E. sideroxylon,Amb,280,252,1,,,,,256.728,34.84747,6.839928,,,,
E. sideroxylon,Amb,280,252,1,,,,,243.216,35.46899,5.404799,,,,
E. sideroxylon,Amb,280,252,1,,,,,249.9729,28.713,7.221338,,,,
E. sideroxylon,Amb,280,252,1,,,,,254.0336,24.91489,8.782799,,,,
E. sideroxylon,Amb,280,252,1,,,,,244.5672,26.04567,5.404799,,,,
E. sideroxylon,Amb,280,252,1,,,,,240.5136,30.96356,6.755999,,,,
E. sideroxylon,Amb,280,252,1,,,,,237.1394,31.79808,6.080399,,,,
E. sideroxylon,Amb,280,252,1,,,,,237.8198,32.26829,6.089775,,,,
E. sideroxylon,Amb,280,252,1,,,,,228.3528,37.53382,9.120599,,,,
E. sideroxylon,Amb,280,252,1,,,,,247.9452,32.10699,7.769399,,,,
E. sideroxylon,Amb,280,252,1,,,,,,31.75499,6.755999,,,,
E. sideroxylon,Amb,280,252,1,,,,,,34.58946,5.742599,,,,
E. sideroxylon,Amb,280,252,1,,,,,,30.15704,6.427082,,,,
E. sideroxylon,Amb,280,252,1,,,,,,25.7283,7.798717,,,,
E. sideroxylon,Amb,280,252,1,,,,,,36.48865,9.464429,,,,
E. sideroxylon,Amb,280,252,1,,,,,,30.71751,5.078247,,,,
E. sideroxylon,Amb,280,252,1,,,,,,37.16414,6.418199,,,,
E. sideroxylon,Amb,280,252,1,,,,,,31.42266,7.093799,,,,
E. sideroxylon,Amb,280,252,1,,,,,,34.85238,8.107199,,,,
E. sideroxylon,Amb,280,252,1,,,,,,33.05783,8.114233,,,,
E. sideroxylon,Amb,280,252,1,,,,,,34.45725,8.107199,,,,
E. sideroxylon,Amb,280,252,1,,,,,,38.87049,7.703024,,,,
E. sideroxylon,Amb,280,252,1,,,,,,36.48239,8.789292,,,,
E. sideroxylon,Amb,280,252,1,,,,,,32.44463,10.15649,,,,
E. sideroxylon,Amb,280,252,1,,,,,,32.23468,6.497712,,,,
E. sideroxylon,Amb,280,252,1,,,,,,40.81093,9.095542,,,,
E. sideroxylon,Amb,280,252,1,,,,,,44.87148,8.782799,,,,
E. sideroxylon,Amb,280,252,1,,,,,,39.9519,7.462245,,,,
E. sideroxylon,Amb,280,252,1,,,,,,33.05955,11.19337,,,,
E. sideroxylon,Amb,280,252,1,,,,,,39.86612,7.431599,,,,
E. sideroxylon,Amb,280,252,1,,,,,,35.54452,6.764439,,,,
E. sideroxylon,Amb,280,252,1,,,,,,34.42909,6.117817,,,,
E. sideroxylon,Amb,280,252,1,,,,,,40.26768,6.117817,,,,
E. sideroxylon,Amb,280,252,1,,,,,,29.41964,6.427082,,,,
E. sideroxylon,Amb,280,252,1,,,,,,30.18541,6.889794,,,,
E. sideroxylon,Amb,280,252,2,21.2662739,78.7337261,3.702281203,17.43696,247.3923,40.80814,6.409303,5,2019.736842,322.3684211,13.76404494
E. sideroxylon,Amb,280,252,2,24.69275805,75.30724195,3.049770373,21.29081,234.1565,36.78919,6.210377,5,1842.105263,309.2105263,14.37308869
E. sideroxylon,Amb,280,252,2,26.22573317,73.77426683,2.813048785,19.52204,237.0624,43.8698,9.661315,5,2138.157895,296.0526316,12.16216216
E. sideroxylon,Amb,280,252,2,26.02017239,73.97982761,2.843172078,20.64402,236.3296,40.74517,10.42812,5,2190.789474,289.4736842,11.67108753
E. sideroxylon,Amb,280,252,2,22.59810481,77.40189519,3.425149844,18.71,253.6983,27.53018,8.444999,6,2072.368421,401.3157895,16.22340426
E. sideroxylon,Amb,280,252,2,21.9185124,78.0814876,3.562353419,18.17575,252.4476,28.73683,8.47198,,2026.315789,407.8947368,16.75675676
E. sideroxylon,Amb,280,252,2,,,,16.15024,242.1364,27.88231,9.367479,,,,
E. sideroxylon,Amb,280,252,2,,,,21.13706,240.1043,33.99886,8.612243,,,,
E. sideroxylon,Amb,280,252,2,,,,17.78772,243.2704,30.9396,9.673118,,,,
E. sideroxylon,Amb,280,252,2,,,,19.45829,243.2235,42.60165,7.886019,,,,
E. sideroxylon,Amb,280,252,2,,,,,240.2943,28.88535,9.536494,,,,
E. sideroxylon,Amb,280,252,2,,,,,264.4531,27.49492,8.465242,,,,
