context,leaf_age,leaf_parts,type,description
lamina from juvenile leaves,juvenile,lamina,field,leaf lamina measured on juvenile leaves
lamina from adult leaves,adult,lamina,field,leaf lamina measured on adult leaves
lamina + petiole from juvenile leaves,juvenile,lamina + petiole,field,leaf lamina + petiole measured on juvenile leaves
lamina + petiole from adult leaves,adult,lamina + petiole,field,leaf lamina + petiole measured on adult leaves
