Species,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. sideroxylon,Amb,280,252,16.2,0.299,173,3.87,1.38,2.9,0.5,26.7,28.87,26.03,280.44,270.47,23.235,25.421,67.77,74.14,500.4,1800
E. sideroxylon,Amb,280,252,16.2,0.3,173,3.87,1.38,2.9,0.5,26.7,28.87,26.03,280.47,270.46,23.241,25.427,67.78,74.16,500.4,1800
E. sideroxylon,Amb,280,252,16.2,0.3,173,3.87,1.38,2.9,0.5,26.7,28.87,26.03,280.42,270.45,23.247,25.433,67.79,74.17,500.4,1800
E. sideroxylon,Amb,280,252,16.4,0.3,172,3.87,1.38,2.9,0.5,26.7,28.87,26.03,280.5,270.41,23.255,25.44,67.81,74.18,500.4,1800
E. sideroxylon,Amb,280,252,16.3,0.3,173,3.88,1.38,2.9,0.5,26.7,28.87,26.03,280.51,270.45,23.264,25.454,67.83,74.21,500.4,1800
E. sideroxylon,Amb,280,252,16.3,0.301,173,3.88,1.38,2.9,0.5,26.71,28.87,26.03,280.52,270.49,23.268,25.458,67.83,74.22,500.4,1800
E. sideroxylon,Amb,280,252,16.1,0.3,174,3.88,1.38,2.9,0.5,26.71,28.89,26.03,280.47,270.52,23.276,25.467,67.85,74.23,500.4,1800
E. sideroxylon,Amb,280,252,16.1,0.301,174,3.89,1.38,2.9,0.5,26.71,28.9,26.03,280.4,270.45,23.291,25.488,67.88,74.28,500.4,1800
E. sideroxylon,Amb,280,252,16.2,0.301,174,3.89,1.38,2.9,0.5,26.71,28.9,26.03,280.43,270.43,23.3,25.498,67.9,74.3,500.4,1800
E. sideroxylon,Amb,280,252,16.3,0.301,173,3.89,1.39,2.9,0.5,26.72,28.91,26.03,280.46,270.42,23.308,25.506,67.92,74.32,500.4,1800
E. sideroxylon,Amb,280,252,32.1,0.305,980,3.34,1.18,2.9,0.5,26.27,27.54,26.03,1200.95,1180.04,22.68,24.568,67.8,73.45,500.4,1799
E. sideroxylon,Amb,280,252,32.4,0.305,978,3.34,1.18,2.9,0.5,26.27,27.54,26.03,1201.03,1179.99,22.679,24.565,67.8,73.44,500.4,1799
E. sideroxylon,Amb,280,252,32.4,0.305,978,3.34,1.17,2.9,0.5,26.27,27.53,26.03,1201.05,1180,22.677,24.563,67.79,73.43,500.4,1799
E. sideroxylon,Amb,280,252,32.4,0.304,978,3.33,1.18,2.9,0.5,26.27,27.53,26.03,1201.08,1180.02,22.676,24.559,67.78,73.41,500.4,1799
E. sideroxylon,Amb,280,252,32.4,0.304,978,3.33,1.18,2.9,0.5,26.28,27.53,26.03,1201.12,1180.06,22.674,24.556,67.78,73.4,500.4,1799
E. sideroxylon,Amb,280,252,32.1,0.304,979,3.33,1.18,2.9,0.5,26.28,27.54,26.03,1201.03,1180.13,22.672,24.555,67.77,73.39,500.4,1799
E. sideroxylon,Amb,280,252,32.4,0.304,977,3.33,1.18,2.9,0.5,26.28,27.54,26.03,1201.09,1180.01,22.671,24.555,67.76,73.39,500.4,1798
E. sideroxylon,Amb,280,252,32.4,0.304,978,3.33,1.18,2.9,0.5,26.28,27.55,26.03,1201.08,1180.03,22.67,24.555,67.75,73.39,500.4,1798
E. sideroxylon,Amb,280,252,32.4,0.304,978,3.33,1.18,2.9,0.5,26.28,27.55,26.03,1201.13,1180.07,22.669,24.554,67.75,73.38,500.4,1798
E. sideroxylon,Amb,280,252,32.2,0.3,977,3.33,1.19,2.9,0.5,26.29,27.6,26.03,1201.15,1180.21,22.658,24.543,67.68,73.31,500.4,1800
E. sideroxylon,Amb,280,295,11.5,0.146,140,1.94,1.37,2.3,0.5,26.52,28.49,26.02,280.05,274.53,23.805,24.676,70.15,72.71,500.4,1799
E. sideroxylon,Amb,280,295,11.6,0.144,137,1.92,1.37,2.3,0.5,26.52,28.48,26.02,280.07,274.49,23.809,24.672,70.16,72.7,500.4,1799
E. sideroxylon,Amb,280,295,11.7,0.147,139,1.96,1.37,2.3,0.5,26.53,28.48,26.03,280.09,274.49,23.811,24.69,70.15,72.74,500.4,1799
E. sideroxylon,Amb,280,295,11.6,0.146,140,1.95,1.37,2.3,0.5,26.53,28.49,26.03,280.03,274.47,23.814,24.689,70.16,72.73,500.4,1799
E. sideroxylon,Amb,280,295,11.3,0.146,142,1.94,1.37,2.3,0.5,26.53,28.5,26.03,279.95,274.5,23.816,24.687,70.16,72.73,500.4,1799
E. sideroxylon,Amb,280,295,11.3,0.146,142,1.95,1.38,2.3,0.5,26.53,28.51,26.03,279.97,274.52,23.815,24.69,70.15,72.73,500.4,1799
E. sideroxylon,Amb,280,295,11.6,0.147,140,1.96,1.37,2.3,0.5,26.53,28.5,26.03,280.04,274.47,23.814,24.691,70.15,72.73,500.4,1799
E. sideroxylon,Amb,280,295,11.8,0.147,138,1.96,1.37,2.3,0.5,26.53,28.49,26.03,280.09,274.44,23.814,24.69,70.15,72.73,500.4,1799
E. sideroxylon,Amb,280,295,11.9,0.147,136,1.96,1.37,2.3,0.5,26.53,28.49,26.02,280.15,274.41,23.817,24.696,70.15,72.74,500.4,1799
E. sideroxylon,Amb,280,295,11.7,0.146,138,1.96,1.38,2.3,0.5,26.53,28.53,26.03,280.07,274.43,23.824,24.703,70.16,72.75,500.4,1799
E. sideroxylon,Amb,280,295,31.8,0.0989,637,1.45,1.49,2.3,0.5,26.79,29.52,26.02,1199.32,1183.91,25.21,25.861,73.13,75.02,500.4,1800
E. sideroxylon,Amb,280,295,32.2,0.0981,626,1.45,1.5,2.3,0.5,26.79,29.53,26.02,1199.41,1183.83,25.213,25.861,73.14,75.01,500.4,1800
E. sideroxylon,Amb,280,295,32.1,0.0982,627,1.45,1.5,2.3,0.5,26.79,29.54,26.02,1199.37,1183.82,25.216,25.864,73.15,75.03,500.4,1800
E. sideroxylon,Amb,280,295,31.7,0.0986,637,1.45,1.5,2.3,0.5,26.79,29.54,26.02,1199.29,1183.93,25.217,25.867,73.15,75.03,500.4,1800
E. sideroxylon,Amb,280,295,31.6,0.1,647,1.48,1.5,2.3,0.5,26.79,29.54,26.02,1199.25,1183.91,25.213,25.875,73.14,75.06,500.4,1800
E. sideroxylon,Amb,280,295,31.9,0.0997,639,1.47,1.49,2.3,0.5,26.79,29.53,26.02,1199.31,1183.85,25.218,25.875,73.15,75.05,500.4,1800
E. sideroxylon,Amb,280,295,32.2,0.1,639,1.47,1.49,2.3,0.5,26.79,29.51,26.02,1199.42,1183.84,25.22,25.879,73.15,75.06,500.4,1800
E. sideroxylon,Amb,280,295,31.8,0.0997,640,1.47,1.49,2.3,0.5,26.79,29.53,26.02,1199.26,1183.82,25.228,25.884,73.17,75.08,500.4,1800
E. sideroxylon,Amb,280,295,31.7,0.0996,642,1.46,1.49,2.3,0.5,26.79,29.54,26.02,1199.27,1183.9,25.231,25.887,73.18,75.08,500.4,1800
E. sideroxylon,Amb,280,295,31.7,0.0997,642,1.46,1.49,2.3,0.5,26.79,29.52,26.02,1199.32,1183.95,25.242,25.896,73.21,75.11,500.4,1800
E. sideroxylon,Amb,280,273,11.3,0.215,180,3.44,1.67,2.3,0.5,26.26,27.05,26.02,278.72,273.12,17.271,18.824,51.4,56.02,500.4,1803
E. sideroxylon,Amb,280,273,11.2,0.215,180,3.43,1.67,2.3,0.5,26.25,27.05,26.02,278.68,273.11,17.272,18.821,51.41,56.02,500.4,1802
