euclid_name,accepted_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit
eucalyptus_abdita,Eucalyptus abdita,8.2,11.6,cm,4,6,cm
eucalyptus_absita,Eucalyptus absita,4.5,8.5,cm,2,6.5,cm
eucalyptus_acaciiformis,Eucalyptus acaciiformis,2,4.5,cm,0.5,1.5,cm
eucalyptus_accedens,Eucalyptus accedens,4,17,cm,3,11,cm
eucalyptus_acies,Eucalyptus acies,7,12,cm,3,5,cm
eucalyptus_acmenoides,Eucalyptus acmenoides,5,12.5,cm,1.3,5.7,cm
eucalyptus_acroleuca,Eucalyptus acroleuca,6,13,cm,0.7,1.1,cm
eucalyptus_adesmophloia,Eucalyptus adesmophloia,2,6.5,cm,2,5,cm
eucalyptus_aequioperta,Eucalyptus aequioperta,2,9,cm,0.8,2.5,cm
eucalyptus_agglomerata,Eucalyptus agglomerata,3.5,10,cm,2,5.5,cm
eucalyptus_aggregata,Eucalyptus aggregata,4,7,cm,1.5,3,cm
eucalyptus_alba_var._australasica,Eucalyptus alba var. australasica,10,18,cm,6,13.5,cm
eucalyptus_albens,Eucalyptus albens,5,10.5,cm,5,10,cm
eucalyptus_albida,Eucalyptus albida,1.5,4,cm,1.3,3.5,cm
eucalyptus_albopurpurea,Eucalyptus albopurpurea,4,11,cm,2.3,4.7,cm
eucalyptus_alipes,Eucalyptus alipes,4.5,8,cm,0.5,0.8,cm
eucalyptus_alligatrix_subsp._alligatrix,Eucalyptus alligatrix subsp. alligatrix,2,4.5,cm,2.5,5.2,cm
eucalyptus_alligatrix_subsp._limaensis,Eucalyptus alligatrix subsp. limaensis,2,4.5,cm,2.5,5.2,cm
eucalyptus_alligatrix_subsp._miscella,Eucalyptus alligatrix subsp. miscella,2,4.5,cm,2.5,5,cm
eucalyptus_ammophila,Eucalyptus ammophila,6,8.5,cm,2.2,3.6,cm
eucalyptus_amplifolia_subsp._amplifolia,Eucalyptus amplifolia subsp. amplifolia,5,22,cm,3.5,18,cm
eucalyptus_amplifolia_subsp._sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,4.5,16,cm,3.5,11,cm
eucalyptus_amygdalina,Eucalyptus amygdalina,2.8,5.5,cm,0.2,1.1,cm
eucalyptus_ancophila,Eucalyptus ancophila,NA,NA,NA,NA,NA,NA
eucalyptus_andrewsii_subsp._andrewsii,Eucalyptus andrewsii,4.5,10,cm,2.5,4.5,cm
eucalyptus_andrewsii_subsp._campanulata,Eucalyptus campanulata,7,13,cm,3,5,cm
eucalyptus_angophoroides,Eucalyptus angophoroides,1.7,7,cm,1.5,5.5,cm
eucalyptus_angularis,Eucalyptus angularis,NA,NA,NA,NA,NA,NA
eucalyptus_angulosa,Eucalyptus angulosa,4.5,9,cm,2.5,4,cm
eucalyptus_angustissima,Eucalyptus angustissima,4.5,8,cm,0.3,0.4,cm
eucalyptus_annettae,Eucalyptus annettae,NA,NA,NA,NA,NA,NA
eucalyptus_annulata,Eucalyptus annulata,4,7.5,cm,1.3,2,cm
eucalyptus_annuliformis,Eucalyptus annuliformis,5,7,cm,2,3.5,cm
eucalyptus_apiculata,Eucalyptus apiculata,NA,16,cm,0.8,2,cm
eucalyptus_apodophylla,Eucalyptus apodophylla,7,15,cm,4,9,cm
eucalyptus_apothalassica,Eucalyptus apothalassica,6.5,14,cm,2,4.2,cm
eucalyptus_approximans_subsp._approximans,Eucalyptus approximans,6.5,14,cm,1,2,cm
eucalyptus_approximans_subsp._codonocarpa,Eucalyptus codonocarpa,6.5,14,cm,1,2,cm
eucalyptus_aquilina,Eucalyptus aquilina,NA,NA,NA,NA,NA,NA
eucalyptus_arachnaea_subsp._arachnaea,Eucalyptus arachnaea subsp. arachnaea,5.5,9,cm,3,5.5,cm
eucalyptus_arachnaea_subsp._arrecta,Eucalyptus arachnaea subsp. arrecta,NA,NA,NA,NA,NA,NA
eucalyptus_arborella,Eucalyptus arborella,NA,NA,NA,NA,NA,NA
eucalyptus_archeri,Eucalyptus archeri,1.3,4,cm,0.9,3.2,cm
eucalyptus_arenacea,Eucalyptus arenacea,3.5,8.5,cm,3,4,cm
eucalyptus_arenicola,Eucalyptus arenicola,6,9,cm,1.4,2.7,cm
eucalyptus_argillacea,Eucalyptus argillacea,NA,NA,NA,NA,NA,NA
eucalyptus_argophloia,Eucalyptus argophloia,4.5,9,cm,0.4,1.4,cm
eucalyptus_argutifolia,Eucalyptus argutifolia,4,7,cm,3,5.5,cm
eucalyptus_aridimontana,Eucalyptus aridimontana,NA,NA,NA,NA,NA,NA
eucalyptus_armillata,Eucalyptus armillata,NA,NA,NA,NA,NA,NA
eucalyptus_aromaphloia_subsp._aromaphloia,Eucalyptus aromaphloia subsp. aromaphloia,3,7.8,cm,0.9,3.5,cm
eucalyptus_aromaphloia_subsp._sabulosa,Eucalyptus sabulosa,2.5,9,cm,0.4,1.2,cm
eucalyptus_articulata,Eucalyptus articulata,6,12,cm,1,1.5,cm
eucalyptus_aspersa,Eucalyptus aspersa,2,7.5,cm,1.4,3,cm
eucalyptus_aspratilis,Eucalyptus aspratilis,2.5,7,cm,1.5,2.5,cm
eucalyptus_astringens_subsp._astringens,Eucalyptus astringens subsp. astringens,6,10,cm,2,6,cm
eucalyptus_astringens_subsp._redacta,Eucalyptus astringens subsp. redacta,NA,NA,NA,NA,NA,NA
eucalyptus_atrata,Eucalyptus atrata,8,19,cm,3.5,8,cm
eucalyptus_aurifodina,Eucalyptus aurifodina,5,8.5,cm,2,4,cm
eucalyptus_badjensis,Eucalyptus badjensis,3.5,8,cm,0.8,2,cm
eucalyptus_baeuerlenii,Eucalyptus baeuerlenii,3.5,9.5,cm,1.3,2.8,cm
eucalyptus_baileyana,Eucalyptus baileyana,6,15,cm,2.5,7.5,cm
eucalyptus_baiophylla,Eucalyptus baiophylla,NA,NA,NA,NA,NA,NA
eucalyptus_bakeri,Eucalyptus bakeri,5,8,cm,0.3,0.5,cm
eucalyptus_balladoniensis_subsp._balladoniensis,Eucalyptus balladoniensis subsp. balladoniensis,8,15,cm,0.6,2,cm
eucalyptus_balladoniensis_subsp._sedens,Eucalyptus balladoniensis subsp. sedens,10,15,cm,0.6,2,cm
eucalyptus_bancroftii,Eucalyptus bancroftii,10,15,cm,3,7,cm
eucalyptus_banksii,Eucalyptus banksii,3.5,8.5,cm,3,6.5,cm
eucalyptus_barberi,Eucalyptus barberi,3,8,cm,1,3,cm
eucalyptus_baudiniana,Eucalyptus baudiniana,NA,NA,NA,NA,NA,NA
eucalyptus_baueriana,Eucalyptus baueriana,3.5,6,cm,3.9,8,cm
eucalyptus_baxteri,Eucalyptus baxteri,2.5,10.5,cm,1.3,7.5,cm
eucalyptus_beaniana,Eucalyptus beaniana,5.5,9,cm,0.4,0.6,cm
eucalyptus_beardiana,Eucalyptus beardiana,2,9,cm,0.5,3.5,cm
eucalyptus_behriana,Eucalyptus behriana,5,10.5,cm,2.5,6.5,cm
eucalyptus_bensonii,Eucalyptus bensonii,4,7,cm,3,4,cm
eucalyptus_benthamii,Eucalyptus benthamii,3,9,cm,2,4,cm
eucalyptus_beyeriana,Eucalyptus beyeriana,5.5,9,cm,1,1.5,cm
eucalyptus_bigalerita,Eucalyptus bigalerita,7,18,cm,6.5,16,cm
eucalyptus_blakelyi,Eucalyptus blakelyi,4,10,cm,3.3,7,cm
eucalyptus_blaxellii,Eucalyptus blaxellii,7,10.5,cm,0.4,0.7,cm
eucalyptus_blaxlandii,Eucalyptus blaxlandii,4,8,cm,1.5,4,cm
