apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max
Angophora bakeri,0.4,0.7,0.4,0.7,0.7,1,0.7,1.2,3,7,white_cream,YYNNNNNNNNYY,5,13,0.5,2
Angophora costata,0.4,1,0.5,1.1,1,2,0.9,2,3,3,white_cream,NNNNNNNNNYYY,7,21,1.2,5
Angophora floribunda,0.3,0.5,0.3,0.5,0.7,1.2,0.7,1.1,3,7,white_cream,YYNNNNNNYYYY,5.5,15,1,5
Angophora hispida,0.9,1.3,0.7,1.3,1.5,2.6,1.3,2,3,7,white_cream,YYNNYNNNYYYY,5,11.5,2,6
Angophora inopina,0.5,0.8,0.5,0.8,0.6,1.3,0.9,1.5,3,7,white_cream,NNNNNNNNNNNY,4.5,12,0.8,3
Angophora leiocarpa,0.4,0.6,0.4,0.5,1,1.5,0.7,1.2,3,3,white_cream,YYNNNNNNYYYY,5.5,16,0.6,2.2
Angophora melanoxylon,0.4,0.6,0.4,0.7,0.8,1.3,0.7,1.1,3,7,white_cream,YYNNNNNNYYYY,3,9,0.6,2.2
Angophora robur,0.7,1,0.7,1.2,1.2,1.7,1.2,1.6,3,7,white_cream,NNNNNNNNNNNY,6,18,2.5,6
Angophora subvelutina,0.4,0.6,0.4,0.6,0.8,1.1,0.6,1.1,3,7,white_cream,YYNNNNNNYYYY,6,12,2,5
Angophora woodsiana,0.6,0.7,0.6,0.7,1.2,1.5,0.9,1.6,3,7,white_cream,YNNNNNNNNNNY,7.5,17,1.7,4.5
Corymbia abbreviata,1.1,1.6,0.9,1.2,2,3.5,1.7,3,7,11,white_cream,YNNNNNYNYNYN,7,23.5,3,11
Corymbia abergiana,1.2,1.8,0.8,1.1,2.1,3.4,1.8,2.6,7,7,white_cream,NNNNNNNYYNNN,8,15.2,2,6.4
Corymbia aparrerinja,0.6,0.7,0.5,0.6,0.9,1.3,0.7,0.9,3,7,white_cream,YYNNNNYNNNNY,5,16.5,0.7,3.2
Corymbia arafurica,0.5,0.8,0.4,0.6,0.9,1.2,0.6,1,3,7,white_cream,NNNNNNNNNNNN,8,20.7,1.3,5.5
Corymbia arenaria,0.4,NA,0.3,NA,0.8,1.3,0.7,1.3,7,7,white_cream,YNNNNNNNNNNN,6,16,0.8,3
Corymbia arnhemensis,0.4,0.6,0.3,0.4,0.8,1.4,0.6,1,7,7,white_cream,NYYYNNNNNNYN,7.5,18,0.8,1.8
Corymbia aspera,0.3,0.5,0.3,0.4,0.5,0.8,0.4,0.7,7,7,white_cream,NNNNNNNNNYYN,1.5,6.8,0.7,3.5
Corymbia aureola,0.8,0.9,0.7,NA,1,1.7,0.9,1.6,7,7,NA,NNNNNNNNNNNN,10,20.5,1.2,3
Corymbia bella,0.5,0.7,0.4,0.5,0.8,1.1,0.6,1.1,3,3,white_cream,YNNNNNYNYYYY,7,23,0.6,2.5
