species_code,replicate,subsample,fresh_mass_g,leaf_area_mm2,dry_mass_mg,leaflet_area_mm2,sla_mm2_mg,ldmc
ACLA,1,1,0.3848,1018.3,95.6,1018.3,10.65167364,248.4407484
ACLA,1,2,0.5646,1581.3,149.6,1581.3,10.57018717,264.9663479
ACLA,1,3,0.5422,1547.8,144.5,1547.8,10.71141869,266.5068241
ACLA,2,1,0.5394,1246.6,128.1,1246.6,9.731459797,237.4860957
ACLA,2,2,0.4936,1190.7,116.7,1190.7,10.20308483,236.4262561
ACLA,2,3,0.6653,1472.4,157,1472.4,9.378343949,235.9837667
ACLA,3,1,0.6162,1969.5,148.5,1969.5,13.26262626,240.993184
ACLA,3,2,0.5213,1511.8,101.9,1511.8,14.83611384,195.4728563
ACLA,3,3,0.6016,1915.7,145.4,1915.7,13.17537827,241.6888298
ACLA,4,1,0.3171,909.8,74.9,909.8,12.14686248,236.2030905
ACLA,4,2,0.3798,1044.3,88.5,1044.3,11.8,233.0173776
ACLA,4,3,0.391,1092.9,92.3,1092.9,11.84073673,236.0613811
ACLA,5,1,0.4843,1460.2,108.7,1460.2,13.43330267,224.4476564
ACLA,5,2,0.6466,2031.2,142.6,2031.2,14.24403927,220.5381998
ACLA,5,3,0.5486,1603,125.3,1603,12.79329609,228.3995625
ACLE,1,1,0.422,1438.9,110.2,1438.9,13.05716878,261.1374408
ACLE,1,2,0.4888,1633.8,129.3,1633.8,12.63573086,264.5253682
ACLE,1,3,0.456,1589.5,125.3,1589.5,12.68555467,274.7807018
ACLE,2,1,0.3943,1412,93.3,1412,15.13397642,236.6218615
ACLE,2,2,0.3276,1201.6,79.8,1201.6,15.05764411,243.5897436
ACLE,2,3,0.4341,1641.8,106.3,1641.8,15.44496707,244.8744529
ACLE,3,1,0.5872,1908.3,136,1908.3,14.03161765,231.6076294
ACLE,3,2,0.4927,1664.6,111.9,1664.6,14.87578195,227.115892
ACLE,3,3,0.389,1338,93.2,1338,14.35622318,239.5886889
ACLE,4,1,0.3594,1352.5,95.4,1352.5,14.17714885,265.442404
ACLE,4,2,0.3298,1194.2,85.1,1194.2,14.03290247,258.0351728
ACLE,4,3,0.3932,1374.8,104.5,1374.8,13.15598086,265.768057
ACLE,5,1,0.3042,996.5,78.4,996.5,12.71045918,257.7251808
ACLE,5,2,0.3466,1307.8,91.9,1307.8,14.23068553,265.1471437
ACLE,5,3,0.3464,1118,93.7,1118,11.93169691,270.4965358
ALEX,1,1,0.2272,1527.9,81.2,1527.9,18.81650246,357.3943662
ALEX,1,2,0.1942,1499.8,65.3,1499.8,22.96784074,336.2512873
ALEX,1,3,NA,NA,NA,NA,NA,NA
ALEX,2,1,0.224,1553.6,72.8,1553.6,21.34065934,325
ALEX,2,2,0.1841,1071.8,58.7,1071.8,18.25894378,318.8484519
ALEX,2,3,NA,NA,NA,NA,NA,NA
ALEX,3,1,0.1685,1362.1,53.7,1362.1,25.36499069,318.694362
ALEX,3,2,0.181,1177,61.2,1177,19.23202614,338.121547
