species_code,species_name
ACLA,Acronychia laevis
ACLE,Acacia leiocalyx
ALEX,Alphitonia excelsa
ARTR,Argyrodendron trifoliolatum
CRTR,Cryptocarya triplinervis
CUAN,Cupaniopsis anacardioides
DIFA,Diospyros fasciculosa
DRDE,Drypetes deplanchei
FICO,Ficus coronata
FIOB,Ficus obliqua
FIVI,Ficus virens
FLAU,Flindersia australis
GLFE,Glochidion ferdinandi
GUSE,Guioa semiglauca
JAPS,Jagera pseudorhus
MEBR,Melaleuca bracteata
NOLO,Notelaea longifolia
STBR,Streblus brunonianus
SYAU,Syzygium australe
SYFR,Syzygium francisii
SYSM,Syzygium smithii
TOCI,Toona ciliata
TOTE,Toechima tenax
TRTO,Trema tomentosa
ACMA,Acacia maidenii
