species_code,replicate,stem_dry_mass_mg,stem_volume_mm3,wood_density_mg_mm3,root_dry_mass_g,root_dry_mass_mg,root_length_m,root_volume_mm3,srl_m_g,rtd_mg_mm3
ACLA,1,672.6,890,0.755730337,0.0983,98.3,1.765869,313,17.96407935,0.314057508
ACLA,2,801.6,1100,0.728727273,0.0801,80.1,2.07358,368,25.88739076,0.217663043
ACLA,3,337.1,480,0.702291667,0.0516,51.6,2.107532,271,40.84364341,0.190405904
ACLA,4,405.2,580,0.69862069,0.2071,207.1,5.363126,735,25.89631096,0.281768707
ACLA,5,326.2,470,0.694042553,0.0294,29.4,1.6375,177,55.69727891,0.166101695
ACLE,1,185.8,370,0.502162162,0.0202,20.2,3.14821,89,155.8519802,0.226966292
ACLE,2,169,350,0.482857143,0.016,16,2.778855,130,173.6784375,0.123076923
ACLE,3,159.3,440,0.362045455,0.0129,12.9,2.538247,85,196.7633333,0.151764706
ACLE,4,167.8,270,0.621481481,0.0404,40.4,4.601787,252,113.9056188,0.16031746
ACLE,5,110.1,240,0.45875,0.0122,12.2,1.407261,80,115.3492623,0.1525
ALEX,1,74.9,120,0.624166667,0.0289,28.9,1.0833,151,37.48442907,0.191390728
ALEX,2,71.6,130,0.550769231,0.0287,28.7,1.416224,166,49.34578397,0.172891566
ALEX,3,56.6,110,0.514545455,0.0249,24.9,1.178991,158,47.34903614,0.157594937
ALEX,4,61.4,110,0.558181818,0.0214,21.4,1.012095,147,47.29415888,0.145578231
ALEX,5,75.7,130,0.582307692,0.0393,39.3,1.489604,205,37.90340967,0.191707317
ARTR,1,49.3,130,0.379230769,0.0392,39.2,3.479797,277,88.77033163,0.141516245
ARTR,2,142.1,240,0.592083333,0.0288,28.8,2.252841,137,78.22364583,0.210218978
ARTR,3,100.3,240,0.417916667,0.0459,45.9,3.4444,254,75.04139434,0.180708661
ARTR,4,NA,NA,NA,0.0211,21.1,1.83673,127,87.04881517,0.166141732
ARTR,5,93,190,0.489473684,0.0429,42.9,2.985478,217,69.59156177,0.197695853
CRTR,1,231.3,390,0.593076923,0.0363,36.3,1.531185,255,42.18140496,0.142352941
CRTR,2,677.7,1020,0.664411765,0.0491,49.1,1.465446,250,29.84615071,0.1964
CRTR,3,881.3,1360,0.648014706,0.0457,45.7,1.384566,296,30.29684902,0.154391892
CRTR,4,592.1,1010,0.586237624,0.0435,43.5,1.648763,294,37.9025977,0.147959184
CRTR,5,574.2,870,0.66,0.0442,44.2,1.443034,253,32.64782805,0.174703557
CUAN,1,427.7,750,0.570266667,0.0493,49.3,1.930494,222,39.15809331,0.222072072
CUAN,2,586,970,0.604123711,0.0661,66.1,1.886623,264,28.54195159,0.250378788
CUAN,3,239.4,530,0.451698113,0.0634,63.4,2.41379,258,38.07239748,0.245736434
CUAN,4,652.5,1100,0.593181818,0.0349,34.9,1.206051,115,34.55733524,0.303478261
CUAN,5,231.7,380,0.609736842,0.0332,33.2,1.389114,121,41.84078313,0.274380165
DIFA,1,1859.4,2350,0.791234043,0.0581,58.1,1.679122,238,28.90055077,0.244117647
DIFA,2,1059.2,1330,0.796390977,0.0674,67.4,1.984431,201,29.44259644,0.335323383
DIFA,3,1325.9,1710,0.775380117,0.0558,55.8,2.007565,172,35.97786738,0.324418605
DIFA,4,1511.7,1890,0.79984127,0.0546,54.6,1.837434,194,33.65263736,0.281443299
DIFA,5,1557.5,2020,0.771039604,0.0794,79.4,2.734545,275,34.44011335,0.288727273
DRDE,1,134.1,250,0.5364,0.0168,16.8,1.252352,107,74.5447619,0.157009346
DRDE,2,84.2,150,0.561333333,0.0162,16.2,1.412591,93,87.19697531,0.174193548
DRDE,3,109.7,200,0.5485,0.0166,16.6,1.160891,92,69.93319277,0.180434783
DRDE,4,188.2,330,0.57030303,0.0169,16.9,1.006998,86,59.58568047,0.196511628
DRDE,5,113,180,0.627777778,0.0221,22.1,1.567604,120,70.93230769,0.184166667
FICO,1,15.3,70,0.218571429,0.0128,12.8,2.340857,101,182.8794531,0.126732673
FICO,2,45.4,150,0.302666667,0.0142,14.2,2.089631,83,147.1571127,0.171084337
FICO,3,37.2,110,0.338181818,0.0129,12.9,2.243633,81,173.9250388,0.159259259
FICO,4,32.8,110,0.298181818,0.0114,11.4,2.00891,75,176.2201754,0.152
FICO,5,33.1,120,0.275833333,0.0108,10.8,2.16472,72,200.437037,0.15
FIOB,1,228.3,440,0.518863636,0.0242,24.2,1.777906,137,73.46719008,0.176642336
FIOB,2,85.9,210,0.409047619,0.0288,28.8,2.202873,153,76.48864583,0.188235294
FIOB,3,307.9,670,0.459552239,0.0192,19.2,2.037775,84,106.1341146,0.228571429
FIVI,1,120.5,300,0.401666667,0.0092,9.2,1.595062,64,173.3763043,0.14375
FIVI,2,99.2,260,0.381538462,0.0083,8.3,1.435052,58,172.8978313,0.143103448
FIVI,3,92.7,320,0.2896875,0.0068,6.8,1.859659,58,273.4792647,0.117241379
FIVI,4,78.3,200,0.3915,0.0153,15.3,1.945062,121,127.1282353,0.126446281
FIVI,5,217.8,570,0.382105263,0.0113,11.3,1.90161,69,168.2840708,0.163768116
FLAU,1,883,1280,0.68984375,0.0687,68.7,1.586975,325,23.10007278,0.211384615
FLAU,2,394.6,550,0.717454545,0.0522,52.2,1.332554,276,25.52785441,0.189130435
FLAU,3,715.1,970,0.737216495,0.0411,41.1,1.153607,193,28.06829684,0.212953368
FLAU,4,332,480,0.691666667,0.0278,27.8,1.170469,153,42.10320144,0.181699346
FLAU,5,308.5,410,0.752439024,0.0461,46.1,1.411167,231,30.61099783,0.1995671
GLFE,1,444.8,730,0.609315068,0.0158,15.8,1.506921,114,95.37474684,0.138596491
GLFE,2,543.3,830,0.654578313,0.0319,31.9,2.271039,223,71.19244514,0.143049327
