species_code,replicate,stem_dry_mass_mg,stem_volume_mm3,wood_density_mg_mm3,root_dry_mass_g,root_dry_mass_mg,root_length_m,root_volume_mm3,srl_m_g,rtd_mg_mm3
GLFE,3,351.1,580,0.605344828,0.0225,22.5,1.736686,143,77.18604444,0.157342657
GLFE,4,533.7,950,0.561789474,0.015,15,1.670548,122,111.3698667,0.12295082
GLFE,5,419.7,750,0.5596,0.0228,22.8,2.418737,158,106.0849561,0.144303797
GUSE,1,34.6,40,0.865,0.0158,15.8,1.259397,86,79.70867089,0.18372093
GUSE,2,30.9,40,0.7725,0.0184,18.4,1.375644,110,74.76326087,0.167272727
GUSE,3,58.88,80,0.736,0.0321,32.1,1.539435,169,47.95747664,0.189940828
GUSE,4,63.9,80,0.79875,0.0374,37.4,2.272765,191,60.76911765,0.195811518
GUSE,5,61.6,90,0.684444444,0.0465,46.5,2.477433,220,53.27812903,0.211363636
JAPS,1,187.8,260,0.722307692,0.0173,17.3,1.790954,91,103.5233526,0.19010989
JAPS,2,406.6,550,0.739272727,0.0176,17.6,2.668471,82,151.6176705,0.214634146
JAPS,3,181,260,0.696153846,0.0114,11.4,1.837219,65,161.1595614,0.175384615
JAPS,4,338.8,500,0.6776,0.0128,12.8,1.470726,72,114.9004688,0.177777778
JAPS,5,417.8,640,0.6528125,0.0337,33.7,3.560608,139,105.6560237,0.242446043
MEBR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEBR,2,63.3,130,0.486923077,0.0248,24.8,8.708578,179,351.1523387,0.138547486
MEBR,3,69.2,130,0.532307692,0.0089,8.9,2.446133,73,274.8464045,0.121917808
MEBR,4,391.5,720,0.54375,0.0232,23.2,3.789945,145,163.3596983,0.16
MEBR,5,167.1,330,0.506363636,0.0122,12.2,3.19693,95,262.0434426,0.128421053
NOLO,1,235.5,450,0.523333333,0.043,43,2.1666,277,50.38604651,0.155234657
NOLO,2,257.6,490,0.525714286,0.0333,33.3,1.809677,257,54.34465465,0.129571984
NOLO,3,120.7,200,0.6035,0.0243,24.3,1.583221,171,65.15312757,0.142105263
NOLO,4,119.5,260,0.459615385,0.0254,25.4,1.280968,204,50.43181102,0.124509804
NOLO,5,89,170,0.523529412,0.0421,42.1,1.571675,307,37.33194774,0.13713355
STBR,1,60.3,130,0.463846154,0.0182,18.2,2.614893,109,143.6754396,0.166972477
STBR,2,76.7,140,0.547857143,0.018,18,2.652775,105,147.3763889,0.171428571
STBR,3,66.2,130,0.509230769,0.0122,12.2,2.431984,74,199.3429508,0.164864865
STBR,4,42.6,90,0.473333333,0.0117,11.7,2.35541,75,201.317094,0.156
STBR,5,41.2,80,0.515,0.0094,9.4,2.011504,64,213.9897872,0.146875
SYAU,1,125,270,0.462962963,0.0127,12.7,2.808627,106,221.1517323,0.119811321
SYAU,2,205.6,430,0.478139535,0.0115,11.5,1.971238,76,171.412,0.151315789
SYAU,3,135.7,270,0.502592593,0.0098,9.8,2.314241,71,236.1470408,0.138028169
SYAU,4,245.4,580,0.423103448,0.0105,10.5,3.206387,68,305.3701905,0.154411765
SYAU,5,262.1,570,0.459824561,0.0105,10.5,2.770042,66,263.8135238,0.159090909
SYFR,1,634.3,1260,0.503412698,0.0251,25.1,3.174047,140,126.4560558,0.179285714
SYFR,2,174.7,320,0.5459375,0.0464,46.4,4.054746,169,87.38676724,0.274556213
SYFR,3,275.5,470,0.586170213,0.0271,27.1,3.412106,107,125.9079705,0.253271028
SYFR,4,286.3,470,0.609148936,0.0516,51.6,5.045669,186,97.78428295,0.277419355
SYSM,1,65.8,130,0.506153846,0.0112,11.2,0.970243,54,86.62883929,0.207407407
SYSM,2,57.6,120,0.48,0.0096,9.6,1.590304,53,165.6566667,0.181132075
SYSM,3,24.2,60,0.403333333,0.0053,5.3,0.817344,30,154.2158491,0.176666667
SYSM,4,98.2,230,0.426956522,0.011,11,1.623275,68,147.5704545,0.161764706
SYSM,5,112.8,230,0.490434783,0.0074,7.4,1.154575,41,156.0236486,0.180487805
TOCI,1,390.5,690,0.565942029,0.0309,30.9,1.45564,230,47.10809061,0.134347826
TOCI,2,448.8,860,0.521860465,0.0395,39.5,1.304545,268,33.0264557,0.14738806
TOCI,3,419.6,680,0.617058824,0.0488,48.8,1.492578,335,30.58561475,0.145671642
TOCI,4,509.1,830,0.613373494,0.0453,45.3,1.314165,296,29.0102649,0.153040541
TOCI,5,267.4,460,0.581304348,0.0668,66.8,2.543535,464,38.07687126,0.143965517
TOTE,1,319.8,450,0.710666667,0.0434,43.4,2.355295,147,54.26947005,0.295238095
TOTE,2,311.2,490,0.635102041,0.0277,27.7,1.495788,86,53.99956679,0.322093023
TOTE,3,251.3,420,0.598333333,0.0283,28.3,2.441871,133,86.28519435,0.212781955
TOTE,4,340,500,0.68,0.0401,40.1,2.450611,154,61.11249377,0.26038961
TRTO,1,143.6,450,0.319111111,0.019,19,3.393985,172,178.6307895,0.110465116
TRTO,2,128.7,300,0.429,0.0194,19.4,4.140383,235,213.4218041,0.082553191
TRTO,3,72.6,230,0.315652174,0.0478,47.8,7.750477,570,162.1438703,0.083859649
TRTO,4,54.7,200,0.2735,0.0171,17.1,4.40003,221,257.3116959,0.077375566
TRTO,5,81.9,310,0.264193548,0.0225,22.5,4.200175,250,186.6744444,0.09
