taxon,mean time to germinate,quickest time to germinate,longest time to germinate,times sown,recommended pretreatment
Abelmoschus ficulneus,50,0,0,1,
Abutilon fraseri,17,7,40,9,
Abutilon geranioides,20,0,0,1,
Abutilon hannii,15,7,28,4,
Abutilon indicum var. australiense,8,5,12,3,
Abutilon indicum var. indicum,22,9,50,6,
Abutilon leucopetalum,19,5,37,5,
Abutilon oxycarpum,43,12,64,4,
Acacia acuminata,9,6,13,9,HW
Acacia aestivalis,20,18,22,2,HW
Acacia aff. sclerosperma,13,12,14,2,HW
Acacia alata,21,16,32,13,HW
Acacia anaticeps,6,12,21,4,HW
Acacia ancistrocarpa,11,7,13,3,HW
Acacia aneura,10,4,38,29,HW
Acacia anfractuosa,8,8,8,1,HW
Acacia anthochaera,9,5,14,3,HW
Acacia aphanoclada,7,7,7,1,HW
Acacia aphylla,13,10,16,5,HW
Acacia aprica,9,6,11,2,HW
Acacia arida,12,12,13,2,HW
Acacia ashbyae,36,30,42,2,HW
Acacia ayersiana,10,7,14,4,HW
Acacia biflora,19,18,21,4,HW
Acacia bivenosa,11,7,17,6,HW
Acacia blakelyi,9,6,13,7,HW
Acacia brachystachya,13,9,20,7,HW
Acacia browniana,22,20,30,6,HW
Acacia burkittii,11,8,13,5,HW
Acacia cedroides,24,19,29,6,HW
Acacia celastrifolia,25,11,30,11,HW
Acacia citrinoviridis,9,7,7,2,HW
Acacia cochlocarpa subsp. cochlocarpa,10,8,11,2,HW
Acacia colei var. colei,8,7,8,3,HW
Acacia congesta,17,0,0,1,HW
Acacia congesta subsp. congesta,13,0,0,1,HW
Acacia coolgardiensis,20,14,28,4,HW
Acacia coriacea,13,8,36,6,HW
Acacia cowleana,8,8,8,1,HW
Acacia craspedocarpa,11,3,33,11,HW
Acacia crassiuscula,45,0,0,1,HW
Acacia cupularis,16,11,20,4,HW
Acacia cyclops,19,13,42,8,HW
Acacia cyperophylla var. omearana,5,5,5,2,HW
Acacia daviesioides,20,15,26,2,HW
Acacia delibrata,16,11,21,2,HW
Acacia dempsteri,13,0,0,1,HW
Acacia denticulosa,10,2,11,8,HW
Acacia dentifera,16,14,19,7,HW
Acacia dictyophleba,14,10,19,3,HW
Acacia divergens,19,0,0,2,HW
Acacia drewiana,25,21,33,3,HW
Acacia drummondii,43,16,91,20,HW
Acacia drummondii subsp. candolleana,26,12,60,16,HW
Acacia drummondii subsp. elegans,20,18,22,5,HW
Acacia drummondii subsp. revoluta,20,15,30,8,HW
Acacia dunnii,17,7,28,12,HW
Acacia ephedroides,12,9,15,4,HW
Acacia eremaea,11,7,16,6,HW
Acacia ericifolia,16,11,19,5,HW
Acacia erinacea,56,56,56,1,HW
Acacia exocarpoides,8,0,0,1,HW
Acacia extensa,14,12,18,4,HW
Acacia farnesiana,14,7,21,7,HW
Acacia fauntleroyi,10,8,11,4,HW
Acacia filifolia,14,10,36,12,HW
Acacia fragilis,17,11,27,8,HW
Acacia gilbertii,43,43,43,1,HW
Acacia glaucoptera,26,12,44,12,HW
Acacia glutinosissima,20,13,36,4,HW
Acacia gonophylla,12,10,19,8,HW
Acacia gracillima,19,19,19,1,HW
Acacia grasbyi,9,3,33,10,HW
Acacia gregorii,11,7,15,3,HW
Acacia guinetii,32,32,32,1,HW
Acacia harveyi,20,13,27,3,HW
Acacia hemiteles,20,19,22,2,HW
Acacia heteroclita,15,19,19,2,HW
Acacia hilliana,12,7,16,3,HW
Acacia holosericea,12,7,18,11,HW
Acacia horridula,21,15,28,10,HW
Acacia huegelii,24,21,27,2,HW
Acacia idiomorpha,16,8,19,8,HW
Acacia incurva,13,0,0,2,HW
Acacia inophloia,15,11,23,12,HW
Acacia insolita,24,13,32,4,HW
Acacia jibberdingensis,12,9,22,10,HW
Acacia kempeana,11,8,13,2,HW
Acacia lanuginophylla,25,10,42,18,HW
Acacia lasiocalyx,12,6,25,9,HW
Acacia lasiocarpa,16,8,27,8,HW
Acacia lateriticola,11,0,0,1,HW
Acacia latipes,11,7,19,6,HW
Acacia leioderma,192,27,357,2,HW
Acacia leptocarpa,9,8,10,3,HW
Acacia leptoneura,12,10,14,5,HW
Acacia leptopetala,15,8,26,7,HW
Acacia leptospermoides,19,10,27,5,HW
Acacia ligustrina,15,8,20,9,HW
Acacia linophylla,20,0,0,2,HW
Acacia littorea,24,15,39,6,HW
Acacia lobulata,11,11,11,1,HW
Acacia longiphyllodinea,53,7,343,7,HW
Acacia longispinea,14,11,17,2,HW
Acacia loxophylla,13,0,0,1,HW
