"","species","tree","context","location","state","country","vessel_area_per_image","distance_from_apex","sapwood_density","sapwood_density_stdev","lat","lon","elevation","image","vessels_per_image","vessels_per_tree","vessel_area","image_area","vessel_density_per_tree","void.wood_ratio_per_tree","vessel_diameter","Dh_per_tree","D_800","tree_height","T_min","T_max","P","P_min","P_max","E","E_min","E_max","AI"
"13","Eucalyptus delegatensis",1,"sampled 800 cm below the tree apex","Rubicon State Forest","VIC","Australia","232792.8561","800","N/A","N/A",-37.38,145.89,1000,2.14042553191489,51.1106382978723,129.468085106383,16446.3613290638,5466266.4887234,965.025931851064,13.8157652004255,136.174491817404,172.078223012766,28.9723404255319,5034,11.98,15.65,1447.73,681.9,2431.8,857.967872340426,739.5,976.4,1.7
"14","Eucalyptus delegatensis",2,"sampled 800 cm below the tree apex","Rubicon State Forest","VIC","Australia","229571.2167","820","N/A","N/A",-37.38,145.89,1000,1.98591549295775,28.5070422535211,85.4225352112676,20377.0426475944,4636208.16309859,671.104377354225,13.3686319749296,152.496297754718,193.794798344366,51.8971830985915,5858.17605633803,11.98,15.65,1447.73,681.9,2431.8,854.053169014084,739.5,976.4,1.7
"15","Eucalyptus delegatensis",3,"sampled 800 cm below the tree apex","Rubicon State Forest","VIC","Australia","1101500.207","850","N/A","N/A",-37.38,145.89,1000,1.89024390243902,50,130.317073170732,16872.9353557398,5482930.95247967,956.985806353659,14.561356627439,141.726211421138,167.750377112195,46.2634146341463,5739,11.98,15.65,1447.73,681.9,2431.8,857.585243902439,739.5,976.4,1.7
"16","Eucalyptus delegatensis_Falls Creek",1,"sampled 130 cm abut the tree base","Falls Creek","VIC","Australia","445953.9038","N/A","0.53","0.024",-36.84,147.25,1274,1.95061728395062,27.1728395061728,81,17043.4298199556,5838990.96,462.408662,7.88102959,140.950740740741,171.0296029,49.4,NA,12.89,16.13,1640.29,430,3410.1,903.05,780.4,1070.1,1.82
"17","Eucalyptus delegatensis_Falls Creek",2,"sampled 130 cm abut the tree base","Falls Creek","VIC","Australia","294229.708","N/A","0.53","0.024",-36.84,147.25,1274,2.0958904109589,24.9452054794521,73,15672.1167512123,5838977.15,416.739657,6.53119256,136.434109589041,163.642034,41.9,NA,12.89,16.13,1640.29,430,3410.1,903.05,780.4,1070.1,1.82
"18","Eucalyptus delegatensis_Falls Creek",3,"sampled 130 cm abut the tree base","Falls Creek","VIC","Australia","481775.1518","N/A","0.53","0.024",-36.84,147.25,1274,1.93421052631579,25.5,76,18489.1549887329,5838977.15,433.865944,8.021814683,146.056184210526,180.3953353,78.7,NA,12.89,16.13,1640.29,430,3410.1,903.05,780.4,1070.1,1.82
"19","Eucalyptus dives",1,"sampled 130 cm abut the tree base","Creswick Forest","VIC","Australia","924268.5245","N/A","0.6","0.162",-37.45,143.93,575,1.97530864197531,54.0864197530864,162,15619.2497979444,5838977.15,924.8195123,14.44498698,135.924320987654,163.8997387,29.2,NA,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79
"20","Eucalyptus dives",2,"sampled 130 cm abut the tree base","Creswick Forest","VIC","Australia","520251.9249","N/A","0.6","0.162",-37.45,143.93,575,2,41.1951219512195,123,13750.5162545285,5838977.15,702.1777778,9.655306948,125.077317073171,165.962311,36.7,NA,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79
"21","Eucalyptus dives",3,"sampled 130 cm abut the tree base","Creswick Forest","VIC","Australia","841847.6456","N/A","0.6","0.162",-37.45,143.93,575,2.0763358778626,44.0687022900763,131,20904.4885361359,5838977.15,747.8478772,15.63337738,158.330610687023,184.1371928,23.9,NA,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79
"22","Eucalyptus globulus (bicostata)",1,"sampled 130 cm abut the tree base","Tiger Hill_up","VIC","Australia","261458.747","N/A","0.650553482","0.021169975",-36.79,146.06,795,2.02173913043478,15.3478260869565,46,18747.5544130435,3651704.883,474.6641333,7.872,150.394827058043,171.097725,33.7,3631,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17
"23","Eucalyptus globulus (bicostata)",2,"sampled 130 cm abut the tree base","Tiger Hill_up","VIC","Australia","396609.045","N/A","0.650553482","0.021169975",-36.79,146.06,795,2,21.7076923076923,65,20287.5718307692,3651704.883,593.3302,12.037,156.324799261538,180.0044372,40.2,3470,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17
"24","Eucalyptus globulus (bicostata)",3,"sampled 130 cm abut the tree base","Tiger Hill_up","VIC","Australia","332851.731","N/A","0.650553482","0.021169975",-36.79,146.06,795,1.98550724637681,23.0289855072464,69,14703.2086811594,3651704.883,629.8428,9.261,133.798913604058,152.3646587,32.4,3216,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17
"25","Eucalyptus gracilis",1,"sampled 800 cm below the tree apex","Mildura State Forest","VIC","Australia","178481.7886","800","N/A","N/A",-34.33,142.09,52,2.09468822170901,73.6558891454965,216.556581986143,2596.69060339122,1459744.29,4945.08030489376,12.8581049567667,55.2688996834873,67.3359326312009,22.2877598152425,1110,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25
"26","Eucalyptus gracilis",2,"sampled 800 cm below the tree apex","Mildura State Forest","VIC","Australia","111484.9512","830","N/A","N/A",-34.33,142.09,52,2.0301724137931,39.5689655172414,116.551724137931,3924.05656075948,1459744.29,2661.46440974138,10.4949967693966,66.0496028759914,92.6720166463793,14.7896551724138,830,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25
"27","Eucalyptus gracilis",3,"sampled 800 cm below the tree apex","Mildura State Forest","VIC","Australia","202972.6299","645","N/A","N/A",-34.33,142.09,52,2.03422982885086,69.5036674816626,205.264058679707,2755.25280663839,1459744.29,4687.21497462347,12.8925781106846,57.0006310575306,69.5012079186797,11.9105134474328,645,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25
"28","Eucalyptus lesouefii",1,"sampled 130 cm abut the tree base","Kalgoorlie","WA","Australia","424096.937","N/A","0.909","0.044",-30.12,120.39,478,2.03273322422259,204.126022913257,611,2270.98715875614,3651704.883,5577.303567,12.66598478,51.3779099342226,65.5066389,16.7,920,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15
"29","Eucalyptus lesouefii",2,"sampled 130 cm abut the tree base","Kalgoorlie","WA","Australia","528237.817","N/A","0.909","0.044",-30.12,120.39,478,2.0195530726257,238.807262569832,716,2362.86604888268,3651704.883,6535.75999,15.44312538,51.9137845611452,69.39838751,22,1000,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15
"30","Eucalyptus lesouefii",3,"sampled 130 cm abut the tree base","Kalgoorlie","WA","Australia","255081.707","N/A","0.909","0.044",-30.12,120.39,478,2.34265734265734,112.072261072261,429,1685.34483449883,3149936.7372704,3446.922087,5.790474753,44.5945062913054,55.77904998,64,1180,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15
"31","Eucalyptus leucoxylon",1,"sampled 130 cm abut the tree base","Pyrenees State Forest","VIC","Australia","574367.6175","N/A","0.664","0.019",-36.67,143.29,248,2.05555555555556,60.4111111111111,180,9497.976512405,5838977.15,1027.577236,9.759904451,103.296055555556,141.1596231,22.3,1400,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43
"32","Eucalyptus leucoxylon",2,"sampled 130 cm abut the tree base","Pyrenees State Forest","VIC","Australia","582145.1498","N/A","0.664","0.019",-36.67,143.29,248,2.06437768240343,78.5965665236051,233,7010.90874528455,5838977.15,1330.141644,9.325501686,89.900643776824,116.4367038,22.1,1560,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43
"33","Eucalyptus leucoxylon",3,"sampled 130 cm abut the tree base","Pyrenees State Forest","VIC","Australia","772495.5366","N/A","0.664","0.019",-36.67,143.29,248,1.99579831932773,79.3529411764706,238,10591.776787021,5838977.15,1358.685456,14.39089308,110.602058823529,139.3371314,19.3,1650,19.31,22.31,489.65,202.5,863.2,1149.36,1021,1299.9,0.43
"34","Eucalyptus loxophleba",1,"sampled 130 cm abut the tree base","Quairading","WA","Australia","208626.5395","N/A","0.8","0.022",-32,117.3,269,1.97454545454545,93.4581818181818,275,2255.57966312073,1459744.29,6279.638653,14.16422524,50.4469818181818,69.90592057,25.4,1300,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29
"35","Eucalyptus loxophleba",2,"sampled 130 cm abut the tree base","Quairading","WA","Australia","272782.7957","N/A","0.8","0.022",-32,117.3,269,2.03252032520325,82.349593495935,246,3163.1153907561,1459744.29,5617.422213,17.76855466,59.4505691056911,82.08620567,30.1,1750,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29
"36","Eucalyptus loxophleba",3,"sampled 130 cm abut the tree base","Quairading","WA","Australia","198429.7964","N/A","0.8","0.022",-32,117.3,269,2.02777777777778,96.1319444444444,288,2025.52278645556,1459744.29,6576.494298,13.32083906,48.0540277777778,64.77722914,23.6,1650,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29
"37","Eucalyptus macroryncha",1,"sampled 130 cm abut the tree base","Tiger Hill_low","VIC","Australia","506738.894","N/A","0.528","0.09",-36.74,146.15,446,2.01612903225806,41.3548387096774,124,11269.1931370968,3651704.883,1131.891,12.7555,115.633539801452,141.8937,44.1,2594,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96
"38","Eucalyptus macroryncha",2,"sampled 130 cm abut the tree base","Tiger Hill_low","VIC","Australia","740638.957","N/A","0.528","0.09",-36.74,146.15,446,1.93119266055046,73.4036697247706,218,11578.8015091743,3651704.883,1989.938,23.0411,115.388395152431,145.154621459633,46.4,2556,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96
"39","Eucalyptus macroryncha",3,"sampled 130 cm abut the tree base","Tiger Hill_low","VIC","Australia","328470.138","N/A","0.528","0.09",-36.74,146.15,446,1.93805309734513,38.8053097345133,113,9375.98094690265,3651704.883,1031.482,9.671153,106.104357412478,124.8361311,31.1,2345,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96
"40","Eucalyptus marginata",1,"sampled 130 cm abut the tree base","Whittaker","WA","Australia","436531.117","N/A","0.59","0.017",-32.55,116.05,260,1.94623655913978,31.1505376344086,93,10898.7666129032,3651704.88,848.9185468,9.252165115,109.957849462366,153.2901587,17.7,1200,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01
"41","Eucalyptus marginata",2,"sampled 130 cm abut the tree base","Whittaker","WA","Australia","475276.4052","N/A","0.59","0.017",-32.55,116.05,260,1.93650793650794,43.015873015873,126,11942.5867264921,5838977.15,719.3040651,8.59035118,114.273095238095,160.553692,36,1600,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01
"42","Eucalyptus marginata",3,"sampled 130 cm abut the tree base","Whittaker","WA","Australia","877662.0289","N/A","0.59","0.017",-32.55,116.05,260,2.1,58.0352941176471,170,16003.4411722665,5838977.15,970.4896116,15.53117341,137.924764705882,162.4094719,25.5,1300,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01
"43","Eucalyptus megacarpa",1,"sampled 130 cm abut the tree base","31 Mile Brook","WA","Australia","723729.78","N/A","0.58","0.019",-32.25,116.15,360,2.04232804232804,63.2962962962963,189,12566.9278318704,5838977.15,1078.956098,13.55916341,121.240158730159,148.1652956,26.9,1500,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96
"44","Eucalyptus megacarpa",2,"sampled 130 cm abut the tree base","31 Mile Brook","WA","Australia","216280.386","N/A","0.58","0.019",-32.25,116.15,360,1.92,25.24,75,9690.06455684,1459744.29,1712.628723,16.59548289,107.409733333333,126.6373358,15.3,1450,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96
"45","Eucalyptus megacarpa",3,"sampled 130 cm abut the tree base","31 Mile Brook","WA","Australia","315718.546","N/A","0.58","0.019",-32.25,116.15,360,2.05555555555556,18.1111111111111,54,14914.5847903759,1459744.29,1233.092681,18.39106534,131.608333333333,161.7912325,40.7,2000,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96
"46","Eucalyptus melliodora",1,"sampled 800 cm below the tree apex","Grampians State Forest","VIC","Australia","887674.2915","800","N/A","N/A",-37.11,142.17,218,2.01225490196078,69.3137254901961,204.705882352941,14262.1901688748,5838977.15,1168.61724864706,16.6198139017647,126.867827472132,163.651521182353,20,1736,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54
"47","Eucalyptus melliodora",2,"sampled 800 cm below the tree apex","Grampians State Forest","VIC","Australia","766311.2454","790","N/A","N/A",-37.11,142.17,218,1.84251968503937,71.257217847769,192.107611548556,10263.7032209391,5528637.81346457,1349.14088452598,13.1503640597638,108.739083573858,136.968169638058,27.350656167979,1872,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54
"48","Eucalyptus melliodora",3,"sampled 800 cm below the tree apex","Grampians State Forest","VIC","Australia","760646.8539","800","N/A","N/A",-37.11,142.17,218,2.01623376623377,52.7402597402597,157.142857142857,13762.9814763792,5838977.15,897.091237542857,12.3459999371429,128.759105483312,148.183391114286,20.9,1795,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54
"49","Eucalyptus melliodora_Tiger Hill",1,"sampled 130 cm abut the tree base","Rushworth SF","VIC","Australia","518404.794","N/A","0.678413448","0.009519918",-36.74,146.15,430,2.02173913043478,46.0434782608696,138,10118.6452681159,3651704.883,1259.686,12.74631,106.55738073029,140.7984319,34.9,2614,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96
"50","Eucalyptus melliodora_Tiger Hill",2,"sampled 130 cm abut the tree base","Rushworth SF","VIC","Australia","615688.78","N/A","0.678413448","0.009519918",-36.74,146.15,430,1.96685082872928,60.8011049723757,181,10021.4539889503,3651704.883,1652.196,16.55741,104.149332161215,163.7171508,42.7,2802,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96
"51","Eucalyptus melliodora_Tiger Hill",3,"sampled 130 cm abut the tree base","Rushworth SF","VIC","Australia","572014.428","N/A","0.678413448","0.009519918",-36.74,146.15,430,1.9537037037037,36.462962962963,108,14222.7259722222,3651704.883,985.8409,14.02134,129.253312938611,157.9422443,48.5,2884,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96
"52","Eucalyptus microcarpa",1,"sampled 800 cm below the tree apex","Pyrenees State Forest","VIC","Australia","242330.9266","800","N/A","N/A",-36.66,143.3,261,1.95360824742268,32.9381443298969,97.659793814433,6290.26931319588,1459741.12536082,2230.07064413402,14.0908809553093,85.3492174899485,108.631088406186,26.4365979381443,1929.94845360825,19.23,22.27,502.14,201.9,902.2,1158.85608247423,1021.2,1300.9,0.44
