,location,latitude (deg),longitude (deg),elevation (m),"temperature, mean daily min (C)","temperature, mean daily max (C)","precipitation, MAP (mm)","precipitation, minimum annual total (mm)","precipitation, maximum annual total (mm)",PET (mm/yr),min evaporation (mm),max evaporation (mm),aridity index (MAP/PET),state,country
1,31 Mile Brook,-32.25,116.15,360,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96,WA,Australia
2,Black Range State Forest,-37.34,145.6,753,14.47,17.72,1245.97,696.4,1809.6,929.4324268,810.1,1054.9,1.35,VIC,Australia
3,Creswick Forest,-37.45,143.93,567,15.61,18.69,753.39,380.1,1121,952.65,811.8,1109.4,0.79,VIC,Australia
4,Falls Creek,-36.89,147.295,1408.5,10.185,13.83,1957.14,677.6,3931.1,839.79,713.25,993.65,2.375,VIC,Australia
5,Grampians State Forest,-37.11,142.17,218,18.56,21.73,580.56,296.9,841.1,1080.12,935,1222.1,0.54,VIC,Australia
6,Kalgoorlie,-30.12,120.39,478,24.15,27.42,246,66.6,552.3,1627.55,1465.9,1790.3,0.15,WA,Australia
7,Kealys State Forest,-36.94,141.25,153,18.82,21.75,567.12,281.2,841,1258.444849,947.7,1213.114579,0.524606898,VIC,Australia
8,Marysville State Forest,-37.61,145.66,480,15.98,18.98,1804.49,882.4,2800.5,938.8691429,811,1057.2,1.93,VIC,Australia
9,Mildura State Forest,-34.33,142.09,52,21.87,24.94,333.58,112.2,582.4,1344.11,1208,1476.4,0.25,VIC,Australia
10,Otway Ranges,-38.61,143.585,210.5,14.73,18.055,1318.655,765.05,1964.8,829.855,666.2,964.9,1.605,VIC,Australia
11,Port Hedland Area,-20.56,118.24,19,31.57,34.89,309.6,1.8,733.4,2110.34,1958.7,2285.2,0.15,WA,Australia
12,Pyrenees State Forest,-36.665,143.295,254.5,19.27,22.29,495.895,202.2,882.7,1154.654825,1021.1,1300.4,0.435,VIC,Australia
13,Quairading,-32,117.3,269,22.13,25.04,398.95,182.7,616,1367.83,1174.8,1496.4,0.29,WA,Australia
14,Richmond - Sefton Plot,-33.36,150.45,24,22.82,25.7,802.51,277,1753.2,1242.32,1130.1,1393,0.65,NSW,Australia
15,Rubicon State Forest,-37.385,145.88,960,12.09,15.72,1465.7,685.45,2474.65,859.3979809,742.85,978.7,1.715,VIC,Australia
16,Rushworth SF,-36.74,146.15,435,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,VIC,Australia
17,Snowy Mountains,-36.11,148.54,1562,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82,NSW,Australia
18,Tiger Hill_low,-36.74,146.15,446,NA,NA,1047.25,NA,NA,1087.46,NA,NA,0.96,VIC,Australia
19,Tiger Hill_up,-36.79,146.06,795,NA,NA,1203.79,NA,NA,1025.94,NA,NA,1.17,VIC,Australia
20,Wandoo Nat. Park,-32.05,116.25,195,21.48,24.74,1024.54,531.9,1537.5,1326.7,1150.3,1460.1,0.77,WA,Australia
21,Whittaker,-32.55,116.05,260,20.26,23.57,1247.71,798.1,1912.3,1234.75,1061.1,1367,1.01,WA,Australia
